Dataset,DA-Net,TapNet,OC-CNN,XCM,ShapeNet,ConvTran,FCN,FCN+GTA,FCN+TPS,FCN+TPS+PE,ResNet,ResNet+GTA,ResNet+TPS,ResNet+TPS+PE,InceptionTime,InceptionTime+GTA,InceptionTime+TPS,InceptionTime+TPS+PE
ArticularyWordRecognition (AWR),98.0,98.7,98.8,98.3,98.7,98.3,98.3,99.0,98.7,98.3,98.3,98.7,98.7,98.3,98.5,99.0,99.0,99.0
AtrialFibrillation (AF),46.7,33.3,23.3,46.7,40.0,40.0,40.0,46.7,46.7,53.3,40.0,46.7,46.7,46.7,40.0,53.3,46.7,46.7
BasicMotions (BM),92.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CharacterTrajectories (CT),99.8,99.7,99.8,99.5,98.0,99.2,99.3,99.6,99.4,99.6,99.3,99.6,99.6,99.7,99.9,99.9,99.9,99.9
Cricket (CR),86.1,95.8,99.3,100.0,98.6,100.0,98.6,100.0,100.0,100.0,98.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DuckDuckGeese (DDG),52.1,57.5,54.0,70.0,72.5,62.0,69.0,74.0,76.0,76.0,67.0,68.0,72.0,72.0,66.7,70.0,70.0,74.0
EigenWorms (EW),48.9,48.9,41.4,43.5,87.8,59.3,54.7,56.5,70.2,62.6,50.6,55.0,59.5,53.4,76.3,84.0,93.9,95.4
Epilepsy (EP),83.3,97.1,98.0,99.3,98.7,98.6,96.7,97.8,98.6,99.3,97.1,98.6,98.6,98.6,97.3,97.8,97.8,97.8
ERing (EC),87.4,13.3,88.1,13.3,13.3,96.3,89.8,90.0,88.5,87.0,83.5,90.4,87.8,85.9,91.7,93.3,91.1,94.8
EthanolConcentration (ER),33.8,32.3,24.0,34.6,31.2,36.1,32.1,33.8,36.1,34.2,30.0,33.1,33.8,33.8,32.1,33.1,35.0,36.1
FaceDetection (FD),64.8,55.6,57.5,63.9,60.2,67.2,56.5,60.5,56.3,57.1,54.2,56.9,56.8,56.3,63.6,65.9,65.7,64.8
FingerMovements (FM),51.0,53.0,56.8,60.0,58.0,56.0,58.5,60.0,63.0,63.0,57.5,63.0,61.0,62.0,58.0,62.0,60.0,63.0
HandMovementDirection (HMD),36.5,37.8,44.3,44.6,33.8,40.5,40.5,59.5,47.3,45.9,41.2,44.6,45.9,48.6,48.6,59.5,50.0,44.6
Handwriting (HW),15.9,35.7,66.8,41.2,45.1,37.5,39.5,50.1,53.6,53.3,53.1,56.0,52.6,52.4,57.1,61.5,59.4,58.7
Heartbeat (HB),62.4,75.1,48.9,77.6,75.6,78.5,77.8,78.5,79.5,77.1,75.9,81.5,78.5,77.6,77.1,79.0,79.0,78.0
InsectWingbeat (IW),56.7,20.8,66.7,10.5,25.0,71.3,66.0,65.7,63.9,63.0,62.2,63.5,61.0,60.8,69.3,70.2,70.0,69.5
JapaneseVowels (JV),93.8,96.5,99.1,98.6,98.4,98.9,98.9,99.5,99.2,99.2,98.2,99.7,99.2,99.2,98.7,99.7,99.2,99.2
Libras (LIB),80.0,85.0,95.0,84.4,85.6,92.8,81.7,96.1,85.6,87.2,83.1,85.0,90.6,91.1,88.3,91.7,91.1,90.0
LSST (LSST),56.0,56.8,41.3,61.2,59.0,61.6,51.1,52.9,67.5,67.0,68.5,68.8,67.7,68.2,55.9,61.6,63.6,65.2
MotorImagery (MI),50.0,59.0,53.5,54.0,61.0,56.0,57.0,61.0,62.0,64.0,58.0,63.0,70.0,67.0,64.3,66.0,63.0,65.0
NATOPS (NA),87.8,93.9,96.8,97.8,88.3,94.4,97.5,98.9,97.8,97.8,96.9,98.3,97.8,97.2,95.9,97.2,96.1,95.6
PEMS-SF (PEMS),86.7,75.1,76.0,99.1,75.1,82.8,62.1,78.6,79.2,79.8,41.3,81.5,80.3,81.5,80.0,81.5,81.5,81.5
PenDigits (PD),98.0,98.0,98.5,75.7,97.7,98.7,99.0,99.2,99.1,99.1,98.9,99.1,99.3,99.2,99.0,99.1,99.3,99.1
Phoneme (PM),9.3,17.5,29.9,22.5,29.8,30.6,28.6,31.3,31.5,29.6,33.7,33.4,31.7,31.5,34.1,35.1,33.5,32.6
RacketSports (RS),80.3,86.8,87.7,89.5,88.2,86.2,88.8,90.1,92.8,92.1,87.2,91.4,89.5,90.8,90.1,92.1,90.8,92.1
SelfRegulationSCP1 (SRS1),92.4,65.2,83.5,87.8,78.2,91.8,85.5,88.4,88.4,89.1,87.4,90.8,89.4,89.1,84.6,89.1,88.1,87.7
SelfRegulationSCP2 (SRS2),56.1,55.0,53.2,54.4,57.8,58.3,56.4,60.6,61.7,57.2,56.4,60.0,57.8,59.4,57.6,60.0,60.6,59.4
SpokenArabicDigits (SAD),95.0,98.3,99.7,99.5,97.5,99.5,99.3,99.8,99.3,99.3,99.7,99.7,99.5,99.6,99.7,99.9,99.8,99.8
StandWalkJump (SWJ),40.0,40.0,38.3,40.0,53.3,33.3,36.7,53.3,66.7,53.3,46.7,46.7,53.3,66.7,37.8,46.7,66.7,66.7
UWaveGestureLibrary (UW),83.3,89.4,92.7,89.4,90.6,89.1,79.8,91.3,80.6,80.3,71.6,87.5,81.3,76.6,90.5,93.4,91.3,91.3
