Dataset,XC,XC_Seq,MC,MF,WM,ED,DWI,DWD,ED_n,DWI_n,DWD_n,Batch,Win_pct
Articulary Word Recognition,98.3,92.7,92.3,98.6,99.3,97.0,98.0,98.7,97.0,98.0,98.7,32,80
Atrial Fibrilation,46.7,33.3,33.3,20.0,26.7,26.7,26.7,20.0,26.7,26.7,22.0,1,60
Basic Motions,100.0,100.0,100.0,100.0,100.0,67.5,100.0,97.5,67.6,100.0,97.5,32,20
Character Trajectories,99.5,98.8,97.4,99.3,99.0,96.4,96.9,99.0,96.4,96.9,98.9,32,80
Cricket,100.0,93.1,90.3,98.6,98.6,94.4,98.6,100.0,94.4,98.6,100.0,32,20
Duck Duck Geese,70.0,52.5,65.0,67.5,57.5,27.5,55.0,60.0,27.5,55.0,60.0,8,80
Eigen Worms,43.5,45.0,41.9,80.9,89.0,55.0,60.3,61.8,54.9,,61.8,32,40
Epilepsy,99.3,93.5,94.9,96.4,99.3,66.7,97.8,96.4,66.6,97.8,96.4,32,20
Ering,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,32,20
Ethanol Concentration,34.6,31.6,30.8,29.4,31.6,29.3,30.4,32.3,29.3,30.4,32.3,32,80
Face Detection,63.9,63.8,50.0,57.4,54.5,51.9,51.3,52.9,51.9,,52.9,32,60
Finger Movements,60.0,60.0,49.0,61.0,54.0,55.0,52.0,53.0,55.0,52.0,53.0,32,40
Hand Movement Direction,44.6,40.1,18.9,37.8,37.8,27.9,30.6,23.1,27.8,30.6,23.1,32,80
Handwriting,41.2,38.6,24.6,54.9,53.1,37.1,50.9,60.7,20.0,31.6,28.6,32,60
Heartbeat,77.6,74.1,72.2,71.4,72.7,62.0,65.9,71.7,61.9,65.8,71.7,32,80
Insect Wingbeat,10.5,10.5,10.5,10.5,,12.8,,11.5,12.8,,,32,20
Japanese Vowels,98.6,94.6,95.1,99.2,97.8,92.4,95.9,94.9,92.4,95.9,94.9,32,80
Libras,84.4,79.4,81.1,92.2,89.4,83.3,89.4,87.2,83.3,89.4,87.0,32,80
LSST,61.2,54.2,31.5,64.6,62.8,45.6,57.5,55.1,45.6,57.5,55.1,32,100
Motor Imagery,54.0,53.0,50.0,53.0,50.0,51.0,39.0,50.0,51.0,,50.0,8,40
NATOPS,97.8,93.9,88.3,96.7,88.3,85.0,85.0,88.3,85.0,85.0,88.3,32,40
PenDigits,99.1,96.7,87.8,99.0,96.9,97.3,93.9,97.7,97.3,93.9,97.7,8,60
PEMS-SF,75.7,80.9,11.6,69.9,,70.5,73.4,71.1,70.5,73.4,71.1,32,80
Phoneme,22.5,11.9,2.6,27.5,19.0,10.4,15.1,15.1,10.4,15.1,15.1,32,40
Racket Sports,89.5,86.8,82.9,89.4,91.4,86.4,84.2,80.3,86.8,84.2,80.3,32,80
Self Regulation SCP1,87.8,81.6,78.5,86.7,74.4,77.1,76.5,77.5,77.1,76.5,77.5,32,80
Self Regulation SCP2,54.4,55.0,50.0,52.2,52.2,48.3,53.3,53.9,48.3,53.3,53.9,32,80
Spoken Arabic Digits,99.5,99.4,98.6,99.4,98.2,96.7,96.0,96.3,96.7,95.9,96.3,32,80
Stand Walk Jump,40.0,46.7,53.3,46.7,33.3,20.0,33.3,20.0,20.0,33.3,20.0,32,60
U Wave Gesture Library,89.4,81.9,81.2,86.3,90.3,88.1,86.9,90.3,88.1,86.8,90.3,32,100
Average Rank,2.3,5.0,7.2,3.5,4.0,7.1,5.9,4.8,7.4,6.4,5.3,,
Wins/Ties,16,4,3,7,7,2,2,4,2,2,3,,
