Dataset,DTW,FCN,ResNet,MLP,Conv-GLU
Articulary,0.987,0.953,0.853,0.35,0.9733
AtrialFibrillation,0.2,0.2667,0.2,0.4,0.4667
BasicMotions,0.975,1.0,1.0,0.275,1.0
CharacterTrajectories,0.989,0.974,0.993,0.61,0.966
Cricket,1.0,0.989,0.934,0.43,0.943
DuckDuckGeese,0.6,0.57,0.581,0.256,0.54
Epilepsy,0.964,1.0,0.971,0.263,0.978
ERing,0.133,0.46,0.874,0.185,0.4
FaceDetection,0.529,0.66,0.632,0.312,0.64
FingerMovements,0.53,0.6,0.58,0.53,0.62
HandMovement,0.231,0.2072,0.4054,0.283,0.3378
Handwriting,0.286,0.302,0.9556,0.186,0.4506
JapaneseVowels,0.949,0.9622,0.9865,0.253,0.9911
Libras,0.87,0.8611,0.944,0.325,0.9056
MotorImagery,0.5,0.51,0.51,0.258,0.512
NATOPS,0.883,0.938,0.88,0.276,0.916
PenDigits,0.977,0.938,0.975,0.352,0.972
Phoneme,0.151,0.22,0.201,0.097,0.215
RacketSports,0.803,0.8421,0.835,0.356,0.7763
SelfRegulationSCP1,0.775,0.62,0.756,0.432,0.843
SelfRegulationSCP2,0.539,0.5,0.554,0.138,0.566
StandWalkJump,0.2,0.33,0.33,0.12,0.6
UWaveGestureLibrary,0.903,0.55,0.837,0.53,0.9125
