Dataset,DTW-I,DTW-D,DTW-A,MUSE,TapNet,AC-LSTM
AtrialFibrillation,0.347,0.235,0.224,0.74,0.302,0.5
BasicMotions,0.722,0.952,0.999,1.0,0.992,1.0
Epilepsy,0.67,0.963,0.974,0.996,0.961,0.874
ERing,0.914,0.929,0.929,0.969,0.894,0.992
EthanolConcentration,0.307,0.301,0.296,0.486,0.29,0.634
PenDigits,0.992,0.993,0.993,0.987,0.936,0.95
RacketSports,0.817,0.856,0.858,0.897,0.858,0.693
SelfRegulationSCP1,0.896,0.818,0.813,0.736,0.957,0.898
SelfRegulationSCP2,0.485,0.537,0.524,0.495,0.534,0.545
StandWalkJump,0.358,0.22,0.256,0.347,0.351,0.5
UWaveGestureLibrary,0.876,0.923,0.915,0.904,0.884,0.896
Avg. Rank,4.364,3.545,3.591,2.773,4.045,2.682
