Dataset,DTWD,WEASEL+MUSE,TapNet,LCEM,CMFMTS+RF,mWDN,TST,MINIROCKET,WHEN,SFC
AtrialFibrillation,0.2,0.333,0.333,0.467,0.2,0.4,0.4,0.4,0.467,0.533
DuckDuckGeese,0.6,0.575,0.6,0.375,0.52,0.6,0.66,0.64,0.7,0.7
FaceDetection,0.529,0.545,0.556,0.614,0.548,0.615,0.689,0.62,0.658,0.645
FingerMovements,0.53,0.54,0.6,0.59,0.52,0.58,0.55,0.53,0.66,0.67
HandMovementDirection,0.231,0.378,0.378,0.649,0.284,0.568,0.595,0.378,0.554,0.662
Heartbeat,0.717,0.727,0.751,0.761,0.766,0.737,0.776,0.766,0.78,0.78
InsectWingbeat,0.115,0.128,0.222,0.228,0.64,0.656,0.687,0.633,0.657,0.696
LSST,0.551,0.628,0.597,0.652,0.652,0.55,0.571,0.652,0.663,0.669
MotorImagery,0.5,0.5,0.59,0.6,0.51,0.54,0.54,0.55,0.63,0.7
SelfRegulationSCP1,0.775,0.744,0.863,0.839,0.812,0.891,0.922,0.904,0.908,0.922
SelfRegulationSCP2,0.539,0.522,0.55,0.55,0.417,0.561,0.604,0.506,0.589,0.6
StandWalkJump,0.2,0.333,0.4,0.4,0.333,0.333,0.4,0.4,0.533,0.733
Avg. Rank,9.0,8.2,6.0,5.1,7.8,5.9,3.7,5.5,2.5,1.4
