Dataset,EDI,DTWI,DTWD,TapNet,Rocket,ShapeNet,TST,RLPAM,SVP-T,AGDM
AM,0.267,0.267,0.22,0.333,0.249,0.4,0.2,0.733,0.4,0.427
CT,0.964,0.969,0.985,0.997,,0.98,,0.978,0.99,0.983
FM,0.55,0.52,0.53,0.53,0.553,0.58,0.776,0.64,0.6,0.58
JV,0.924,0.959,0.949,0.965,0.965,0.984,0.994,0.935,0.978,0.976
LB,0.833,0.894,0.87,0.85,0.906,0.856,0.844,0.794,0.883,0.921
LSST,0.456,0.575,0.551,0.568,0.632,0.59,0.381,0.643,0.666,0.631
NT,0.85,0.85,0.883,0.939,0.885,0.883,0.9,0.95,0.906,0.921
PD,0.705,0.939,0.977,0.98,0.996,0.977,0.974,0.982,0.983,0.979
RS,0.868,0.842,0.803,0.868,0.928,0.882,0.829,0.868,0.842,0.921
SAD,0.967,0.959,0.963,0.983,0.63,0.975,0.993,0.621,0.986,0.981
UGL,0.881,0.868,0.903,0.894,0.944,0.906,0.903,0.944,0.941,0.956
Avg,0.751,0.786,0.785,0.81,0.769,0.819,0.78,0.826,0.834,0.843
