Dataset,MICN,Crossformer,LightTS,Transformer,TimesNet,TodyNet,ModernTCN,MPTSNet,KAN-AD,TimeFilter,DAPNet
EthanolConcentration,28.14,31.18,26.62,27.76,27.76,35.0,30.8,39.54,29.28,30.8,31.18
FaceDetection,64.76,64.59,66.4,68.27,69.1,62.7,68.98,69.55,67.48,64.25,70.2
Handwriting,8.71,10.12,6.94,28.47,28.82,43.6,28.59,33.29,8.82,25.29,53.41
Heartbeat,73.17,75.61,76.1,75.61,78.54,75.6,73.17,73.17,72.68,70.73,80.49
JapaneseVowels,70.27,95.41,75.41,95.14,97.03,98.11,97.84,96.76,74.32,94.05,98.38
PEMS-SF,78.61,86.13,84.39,85.55,82.66,78.0,88.44,90.75,77.46,80.35,88.44
SelfRegulationSCP1,87.37,91.81,89.76,90.1,90.1,89.8,90.78,93.17,86.69,86.69,91.13
SelfRegulationSCP2,53.89,52.22,55.56,54.44,54.44,55.0,56.67,53.89,53.33,51.67,58.33
SpokenArabicDigits,96.82,98.0,98.04,98.27,98.91,97.37,98.14,99.0,96.59,97.64,99.82
UWaveGestureLibrary,78.75,79.38,78.75,86.56,86.56,85.0,85.94,87.19,78.44,85.0,90.1
CICIDS2017,97.88,83.11,97.92,93.34,97.27,96.03,97.19,96.66,99.48,96.96,99.5
CICIDS2018,99.44,77.5,99.1,98.84,99.51,98.79,99.61,99.42,99.61,99.39,99.7
