Dataset,ROCKET,LSTNet,TCN,FEDformer,Flowformer,DLinear,LightTS,FormerTime,TimesNet,GPT2(6),MTSFNet
EthanolConcentration,45.2,39.9,28.9,31.2,33.8,32.6,29.7,31.9,35.7,34.2,52.1
FaceDetection,64.7,65.7,52.8,66.0,67.6,68.0,67.5,68.7,68.6,69.2,69.8
Handwriting,58.8,25.8,53.3,28.0,33.8,27.0,26.1,27.3,32.1,32.7,34.9
Heartbeat,75.6,77.1,75.6,73.7,77.6,75.1,75.1,77.6,78.0,77.2,80.0
JapaneseVowels,96.2,98.1,98.9,98.4,98.9,96.2,96.2,98.9,98.4,98.6,98.4
PEMS-SF,75.1,86.7,68.8,80.9,83.8,75.1,88.4,76.9,89.6,87.9,90.2
SelfRegulationSCP1,90.8,84.0,84.6,88.7,92.5,87.3,89.8,88.7,91.8,93.2,92.8
SelfRegulationSCP2,53.3,52.8,55.6,54.4,56.1,50.5,51.1,59.2,57.2,59.4,62.2
SpokenArabicDigits,71.2,100.0,95.6,100.0,98.8,81.4,100.0,98.9,99.0,99.2,99.4
UWaveGestureLibrary,94.4,87.8,88.4,85.3,86.6,82.1,80.3,88.8,85.3,88.1,91.9
