Dataset,ED-1NN,DTW,DTW-1NN-I,DTW-1NN-D,FCN,Disjoint-CNN,IT,ResNet,TapNet,TST,TCFNet
ArticularyWordRecognition,0.97,0.987,0.98,0.987,0.6353,0.7422,0.76,0.687,0.987,0.7655,0.9867
AtrialFibrillation,0.267,0.2,0.267,0.2,0.3333,0.4,0.2,0.3333,0.333,0.2,0.4
BasicMotions,0.675,0.975,1,0.975,1,1,1,1,1,0.975,1
Cricket,0.944,1,0.986,1,0.9306,0.9772,0.9861,0.9722,0.958,1,0.9583
DuckDuckGeese,0.275,0.6,0.55,0.6,0.36,0.5,0.36,0.24,0.575,0.5,0.6
EigenWorms,0.55,0.618,0.603,0.618,0.4198,0.5934,0.53,0.4198,0.489,0.4503,0.6556
Epilepsy,0.667,0.964,0.978,0.964,0.9928,0.8898,0.9,0.9928,0.971,0.9492,0.8986
EthanolConcentration,0.293,0.323,0.304,0.323,0.3232,0.2775,0.3489,0.3155,0.323,0.151,0.3156
ERing,0.133,0.133,0.133,0.133,0.9037,0.9111,0.93,0.9296,0.133,0.9296,0.9333
FaceDetection,0.519,0.529,0.513,0.529,0.5037,0.5665,0.59,0.5948,0.556,0.6542,0.693
FingerMovements,0.55,0.53,0.52,0.53,0.53,0.54,0.56,0.54,0.53,0.58,0.59
HandMovementDirection,0.279,0.231,0.306,0.231,0.2973,0.5405,0.38,0.2838,0.378,0.5405,0.6081
Handwriting,0.371,0.286,0.509,0.607,0.376,0.2372,0.3,0.18,0.357,0.2752,0.3435
Heartbeat,0.62,0.717,0.659,0.717,0.678,0.717,0.62,0.7268,0.751,0.6975,0.7756
Libras,0.833,0.87,0.894,0.872,0.85,0.8577,0.87,0.8389,0.85,0.8222,0.7833
LSST,0.456,0.551,0.575,0.551,0.5616,0.5559,0.45,0.5725,0.568,0.2846,0.3986
MotorImagery,0.51,0.5,0.39,0.5,0.55,0.49,0.53,0.52,0.59,0.48,0.65
NATOPS,0.86,0.883,0.85,0.883,0.8778,0.9277,0.92,0.8944,0.939,0.95,0.95
PenDigits,0.973,0.977,0.939,0.977,0.9857,0.9708,0.98,0.9771,0.98,0.9694,0.9874
PEMS-SF,0.705,0.711,0.734,0.711,0.8324,0.8901,0.8901,0.7399,0.751,0.7572,0.8728
PhonemeSpectra,0.104,0.151,0.151,0.151,0.1599,0.2821,0.16,0.1596,0.175,0.089,0.1297
RacketSports,0.868,0.803,0.842,0.803,0.8223,0.8355,0.82,0.8223,0.868,0.8815,0.8947
SelfRegulationSCP1,0.771,0.775,0.765,0.775,0.7816,0.8839,0.86,0.8362,0.652,0.86,0.9044
SelfRegulationSCP2,0.483,0.539,0.533,0.539,0.4667,0.5166,0.47,0.5,0.55,0.5333,0.5556
StandWalkJump,0.2,0.2,0.333,0.2,0.4,0.3333,0.4,0.4,0.4,0.3333,0.4
UWaveGestureLibrary,0.881,0.903,0.869,0.903,0.85,0.8906,0.9093,0.85,0.894,0.8906,0.8719
