Dataset,EDI,DTWI,DTWD,WEASEL+MUSE,MLSTM-FCN,TapNet,ShapeNet,OS-CNN,MOS-CNN,TodyNet,MPTSNet
ArticularyWordRecognition,97.0,98.0,98.7,99.0,97.3,98.7,98.7,98.8,99.1,98.7,97.7
AtrialFibrillation,26.7,26.7,20.0,33.3,26.7,33.3,40.0,23.3,18.3,46.7,53.3
BasicMotions,67.5,100,97.5,100,95.0,100,100,100,100,100,100
Cricket,94.4,98.6,100,100,91.7,95.8,98.6,99.3,99.0,100,94.4
DuckDuckGeese,27.5,55.0,60.0,57.5,67.5,57.5,72.5,54.0,61.5,58.0,68.0
Epilepsy,66.7,97.8,96.4,100,76.1,97.1,98.7,98.0,99.6,97.1,97.1
EthanolConcentration,29.3,30.4,32.3,13.3,37.3,32.3,31.2,24.0,41.5,35.0,43.3
ERing,13.3,13.3,13.3,43.0,13.3,13.3,13.3,88.1,91.5,91.5,94.4
FaceDetection,51.9,51.3,52.9,54.5,54.5,55.6,60.2,57.5,59.7,62.7,69.8
FingerMovements,55.0,52.0,53.0,49.0,58.0,53.0,58.9,56.8,56.8,67.6,64.0
HandMovementDirection,27.9,30.6,23.1,36.5,36.5,37.8,33.8,44.3,36.1,64.9,63.5
Handwriting,37.1,50.9,60.7,60.5,28.6,35.7,45.1,66.8,67.7,43.6,34.4
Heartbeat,62.0,65.9,71.7,72.7,66.3,75.1,75.6,48.9,60.4,75.6,75.6
Libras,83.3,89.4,87.2,87.8,85.6,85.0,85.6,95.0,96.5,85.0,87.2
LSST,45.6,57.5,55.1,59.0,37.3,56.8,59.0,41.3,52.1,61.5,60.4
MotorImagery,51.0,39.0,50.0,50.0,51.0,59.0,61.0,53.5,51.5,64.0,65.0
NATOPS,86.0,85.0,88.3,87.0,88.9,93.9,88.3,96.8,95.1,97.2,94.4
PenDigits,97.3,93.9,97.7,94.8,97.8,98.0,97.7,98.5,98.3,98.7,98.9
PEMS-SF,70.5,73.4,71.1,N/A,69.9,75.1,75.1,76.0,76.4,78.0,94.2
PhonemeSpectra,10.4,15.1,15.1,19.0,11.0,17.5,29.8,29.9,29.5,30.9,14.4
RacketSports,86.8,84.2,80.3,93.4,80.3,86.8,88.2,87.7,92.9,80.3,87.5
SelfRegulationSCP1,77.1,76.5,77.5,71.0,87.4,65.2,78.2,83.5,82.9,89.8,92.8
SelfRegulationSCP2,48.3,53.3,53.9,46.0,47.2,55.0,57.8,53.2,51.0,55.0,57.2
StandWalkJump,20.0,33.3,20.0,33.3,6.7,40.0,53.3,38.3,38.3,46.7,53.3
UWaveGestureLibrary,88.1,86.9,90.3,91.6,89.1,89.4,90.6,92.7,92.6,85.0,88.1
