Table,Scope,Method,Metric,Value
TABLE_I,UCR,RankSCL,AverageRank,2.430
TABLE_I,UCR,InfoTS,AverageRank,3.824
TABLE_I,UCR,TS2Vec,AverageRank,2.465
TABLE_I,UCR,T-Loss,AverageRank,3.531
TABLE_I,UCR,TS-TCC,AverageRank,5.508
TABLE_I,UCR,DTW,AverageRank,5.277
TABLE_I,UCR,TimesNet,AverageRank,5.211
TABLE_I,UCR,TNC,AverageRank,7.754
TABLE_I,UEA,RankSCL,AverageRank,2.433
TABLE_I,UEA,InfoTS,AverageRank,3.917
TABLE_I,UEA,TS2Vec,AverageRank,3.650
TABLE_I,UEA,T-Loss,AverageRank,4.800
TABLE_I,UEA,TS-TCC,AverageRank,5.550
TABLE_I,UEA,DTW,AverageRank,4.483
TABLE_I,UEA,TimesNet,AverageRank,4.233
TABLE_I,UEA,TNC,AverageRank,6.933
TABLE_II,UCR,RankSCL,ACC,0.821
TABLE_II,UCR,RankSCL,Precision,0.817
TABLE_II,UCR,RankSCL,F1,0.803
TABLE_II,UCR,RankSCL,Recall,0.789
TABLE_II,UEA,RankSCL,ACC,0.715
TABLE_II,UEA,RankSCL,Precision,0.719
TABLE_II,UEA,RankSCL,F1,0.705
TABLE_II,UEA,RankSCL,Recall,0.692
TABLE_II,UCR,InfoTS,ACC,0.733
TABLE_II,UCR,InfoTS,Precision,0.723
TABLE_II,UCR,InfoTS,F1,0.705
TABLE_II,UCR,InfoTS,Recall,0.688
TABLE_II,UEA,InfoTS,ACC,0.669
TABLE_II,UEA,InfoTS,Precision,0.672
TABLE_II,UEA,InfoTS,F1,0.657
TABLE_II,UEA,InfoTS,Recall,0.643
TABLE_II,UCR,TS2Vec,ACC,0.822
TABLE_II,UCR,TS2Vec,Precision,0.816
TABLE_II,UCR,TS2Vec,F1,0.799
TABLE_II,UCR,TS2Vec,Recall,0.783
TABLE_II,UEA,TS2Vec,ACC,0.695
TABLE_II,UEA,TS2Vec,Precision,0.687
TABLE_II,UEA,TS2Vec,F1,0.672
TABLE_II,UEA,TS2Vec,Recall,0.657
TABLE_II,UCR,TS-TCC,ACC,0.685
TABLE_II,UCR,TS-TCC,Precision,0.603
TABLE_II,UCR,TS-TCC,F1,0.566
TABLE_II,UCR,TS-TCC,Recall,0.533
TABLE_II,UEA,TS-TCC,ACC,0.617
TABLE_II,UEA,TS-TCC,Precision,0.573
TABLE_II,UEA,TS-TCC,F1,0.533
TABLE_II,UEA,TS-TCC,Recall,0.499
TABLE_II,UCR,T-Loss,ACC,0.782
TABLE_II,UCR,T-Loss,Precision,0.750
TABLE_II,UCR,T-Loss,F1,0.743
TABLE_II,UCR,T-Loss,Recall,0.737
TABLE_II,UEA,T-Loss,ACC,0.581
TABLE_II,UEA,T-Loss,Precision,0.572
TABLE_II,UEA,T-Loss,F1,0.545
TABLE_II,UEA,T-Loss,Recall,0.520
TABLE_II,UCR,DTW,ACC,0.679
TABLE_II,UCR,DTW,Precision,0.672
TABLE_II,UCR,DTW,F1,0.668
TABLE_II,UCR,DTW,Recall,0.646
TABLE_II,UEA,DTW,ACC,0.654
TABLE_II,UEA,DTW,Precision,0.645
TABLE_II,UEA,DTW,F1,0.624
TABLE_II,UEA,DTW,Recall,0.605
TABLE_II,UCR,TimesNet,ACC,0.688
TABLE_II,UCR,TimesNet,Precision,0.675
TABLE_II,UCR,TimesNet,F1,0.649
TABLE_II,UCR,TimesNet,Recall,0.625
TABLE_II,UEA,TimesNet,ACC,0.676
TABLE_II,UEA,TimesNet,Precision,0.664
TABLE_II,UEA,TimesNet,F1,0.639
TABLE_II,UEA,TimesNet,Recall,0.616
TABLE_II,UCR,TNC,ACC,0.406
TABLE_II,UCR,TNC,Precision,0.305
TABLE_II,UCR,TNC,F1,0.291
TABLE_II,UCR,TNC,Recall,0.279
TABLE_II,UEA,TNC,ACC,0.345
TABLE_II,UEA,TNC,Precision,0.311
TABLE_II,UEA,TNC,F1,0.286
TABLE_II,UEA,TNC,Recall,0.265
