Dataset,TST,TS-TCC,TNC,T-Loss,TS2Vec,InfoTS,RTF,ED,DTW,M-FCN,MUSE,TapNet,ShapeNet,Rocket,THAT,SVP-T
1-to-1-D,,,,,,,—,1,2,0,4,2,2,1,3,5
1-to-1-L,,,,,,,—,1,2,7,10,7,10,15,9,6
1-to-1-W,,,,,,,—,28,22,23,14,21,18,12,18,19
AF,,,,,,,0.400,0.267,0.267,0.267,0.333,0.333,0.400,0.249,0.400,0.267
AWR,,,,,,,0.990,0.970,0.980,0.973,0.990,0.987,0.987,0.996,0.960,0.990
Avg.,,,,,,,0.733,0.612,0.605,0.648,0.673,0.682,0.714,0.727,0.702,0.695
BM,,,,,,,1.000,0.676,1.000,0.950,1.000,1.000,1.000,0.990,1.000,1.000
CR,,,,,,,1.000,0.944,0.986,0.917,1.000,0.958,0.986,1.000,0.903,1.000
CT,,,,,,,0.979,0.964,0.969,0.985,0.990,0.997,0.980,N/A,0.968,0.985
DDG,,,,,,,0.641,0.275,0.550,0.675,0.575,0.575,0.725,0.461,0.680,0.625
Dataset,,,,,,,RTF,ED,DTW,M-FCN,MUSE,TapNet,ShapeNet,Rocket,THAT,SVP-T
EC,,,,,,,0.293,0.293,0.304,0.373,0.430,0.323,0.323,0.447,0.342,0.297
EP,,,,,,,0.978,0.666,0.978,0.761,1.000,0.971,0.987,0.991,0.891,0.978
ER,,,,,,,0.926,0.930,0.914,0.941,0.964,0.895,0.574,0.981,0.933,0.933
EW,,,,,,,0.855,0.549,N/A,0.504,0.890,0.489,0.878,0.863,0.592,0.802
FD,,,,,,,0.539,0.519,N/A,0.545,0.545,0.556,0.602,0.694,0.664,0.512
FM,,,,,,,0.590,0.550,0.520,0.580,0.490,0.530,0.553,0.580,0.590,0.520
HB,,,,,,,0.761,0.619,0.658,0.663,0.727,0.751,0.756,0.718,0.746,0.749
HMD,,,,,,,0.351,0.278,0.306,0.365,0.365,0.378,0.338,0.446,0.432,0.280
HW,,,,,,,0.568,0.200,0.316,0.286,0.605,0.357,0.451,0.567,0.269,0.433
IW,,,,,,,0.574,0.128,N/A,0.167,N/A,0.208,0.250,N/A,0.232,0.184
JV,,,,,,,0.986,0.924,0.959,0.976,0.973,0.965,0.984,0.965,0.981,0.968
LB,,,,,,,0.906,0.833,0.894,0.856,0.878,0.850,0.856,0.905,0.844,0.833
LSST,,,,,,,0.551,0.456,0.575,0.373,0.590,0.568,0.590,0.632,0.621,0.630
MI,,,,,,,0.530,0.510,N/A,0.510,0.500,0.590,0.610,0.531,0.580,0.650
NATOPS,,,,,,,0.940,0.850,0.850,0.889,0.870,0.939,0.883,0.885,0.939,0.906
PD,,,,,,,0.985,0.973,0.939,0.978,0.948,0.980,0.977,0.996,0.971,0.938
PEMSSF,,,,,,,0.775,0.705,0.734,0.699,N/A,0.751,0.751,0.856,0.734,0.844
PH,,,,,,,0.190,0.104,0.151,0.110,0.190,0.175,0.298,0.284,0.206,0.176
RS,,,,,,,0.868,0.868,0.842,0.803,0.934,0.868,0.882,0.928,0.855,0.836
SAD,,,,,,,0.979,0.967,0.959,0.990,0.982,0.983,0.975,0.630,0.974,0.977
SCP1,,,,,,,0.816,0.771,0.765,0.874,0.710,0.652,0.782,0.866,0.928,0.689
SCP2,,,,,,,0.622,0.483,0.533,0.472,0.460,0.550,0.578,0.514,0.522,0.600
SWJ,,,,,,,0.469,0.200,0.333,0.067,0.333,0.400,0.533,0.456,0.400,0.333
Total Best,,,,,,,10,0,1,0,6,3,5,9,3,3
UW,,,,,,,0.925,0.881,0.868,0.891,0.916,0.894,0.906,0.944,0.888,0.925
