Dataset,GAT-g,GAT-v1,GAT-v2,SVP-T,RL,MR,Rocket,SN,TN,SRL,WM,MF,DTWD,DTWI,EDI
Datasets,GAT-g,GAT-v1,GAT-v2,SVP-T,RL,MR,Rocket,SN,TN,SRL,WM,MF,DTWD,DTWI,EDI
AWR,99,99,99.3,99.3,92.3,99.2,99.6,98.7,98.7,98.7,99,97.3,98.7,98,97
AF,73.3,60,53.3,40,73.3,13.3,24.9,40,33.3,13.3,33.3,26.7,22,26.7,26.7
BM,100,100,100,100,100,100,99,100,100,100,100,95,97.5,100,67.6
CT,99,99,99,99,97.8,99.3,N/A,98,99.7,99.4,99,98.5,98.9,96.9,96.4
CR,100,98.6,97.2,100,100,98.6,100,98.6,95.8,98.6,100,91.7,100,98.6,94.4
DDG,70,60,62.5,70,70,65,46.1,72.5,57.5,67.5,57.5,67.5,60,55,27.5
EW,86.3,84.7,84.0,92.3,90.8,96.2,86.3,87.8,48.9,87.8,89,50.4,61.8,N/A,54.9
EP,97.1,97.1,97.1,98.6,97.8,100,99.1,98.7,97.1,95.7,100,76.1,96.4,97.8,66.6
ER,36.7,36.7,33.3,93.7,81.9,98.1,98.1,13.3,13.3,13.3,13.3,13.3,92.9,91.4,13.3
EC,64.6,59.3,60.1,33.1,36.9,46.8,44.7,31.2,32.3,23.6,43,37.3,32.3,30.4,29.3
FD,67.5,66.3,67.3,51.2,62.1,62,69.4,60.2,55.6,52.8,54.5,54.5,52.9,N/A,51.9
FM,67,62,65,60,64,55,55.3,58,53,54,49,58,53,52,55
HMD,68.9,58.1,62.2,39.2,63.5,39.2,44.6,33.8,37.8,27,36.5,36.5,23.1,30.6,27.8
HW,25.9,25.1,25.8,43.3,52.2,50.7,56.7,45.2,35.7,53.3,60.5,28.6,28.6,31.6,20
HB,79,78,77.1,79,77.9,77.1,71.8,75.6,75.1,73.7,72.7,66.3,71.7,65.8,61.9
IW,19.3,18.8,18.7,18.4,35.2,59.5,N/A,25,20.8,16,N/A,16.7,N/A,N/A,12.8
JV,98.1,98.1,97.3,97.8,93.5,98.9,96.5,98.4,96.5,98.9,97.3,97.6,94.9,95.9,92.4
LIB,92.8,88.9,90,88.3,79.4,92.2,90.6,85.6,85,86.7,87.8,85.6,87,89.4,83.3
LSST,61.2,60.9,61,66.6,64.3,64.3,63.2,59,56.8,55.8,59,37.3,55.1,57.5,45.6
MI,61,59,57,65,61,55,53.1,61,59,54,50,51,50,N/A,51
NATO,99.4,98.3,96.7,90.6,95,92.8,88.5,88.3,93.9,94.4,87,88.9,88.3,85,85
PD,98.5,98.4,98.3,98.3,98.2,N/A,99.6,97.7,98,98.3,94.8,97.8,97.7,93.9,70.5
PEMS,89,84.4,83.8,86.7,63.2,52.2,85.6,75.1,75.1,68.8,N/A,69.9,71.1,73.4,97.3
PH,20,19.1,19.1,17.6,17.5,29.2,28.4,29.8,17.5,24.6,19,11,15.1,15.1,10.4
RS,88.2,87.5,87.5,84.2,86.8,86.8,92.8,88.2,86.8,86.2,93.4,80.3,80.3,84.2,86.8
SRS1,93.9,93.9,92.8,88.4,80.2,92.5,86.6,78.2,65.2,84.6,71.0,87.4,77.5,76.5,77.1
SRS2,60.6,60.6,60.6,60,63.2,52.2,51.4,57.8,55,55.6,46,47.2,53.9,53.3,48.3
SAD,98.8,98.6,98.8,98.6,62.1,62,63,97.5,98.3,95.6,98.2,99,96.3,95.9,96.7
SWJ,73.3,66.7,60,46.7,66.7,33.3,45.6,53.3,40,40,33.3,6.7,20,33.3,20
UW,92.5,91.6,90.3,94.1,94.4,93.8,94.4,90.6,89.4,88.4,91.6,89.1,90.3,86.8,88.1
AR,3.2,5,5.4,5,5.9,5.9,6.6,6.6,8.6,8.5,8.2,10.5,10.7,11,12.5
Wins,11,2,1,5,4,6,6,3,2,2,5,1,1,1,1
