Setting,Dataset,KNN,XGBoost,FCN,1D-Resnet,Bi-LSTM,TSTformer,ConvTran,U-TFSCL
Standard,AW-A,73.93,69.72,80.28±0.55,95.40±0.35,92.30±0.31,88.73±0.42,94.08±0.41,95.98±0.19
Standard,AW-B,65.82,59.38,75.00±2.57,87.65±1.14,90.71±0.24,87.77±1.32,91.99±1.42,94.76±0.77
Standard,HAR-A,63.7,84.16,86.56±0.08,93.21±1.43,91.40±0.55,92.80±0.68,95.50±0.71,97.78±0.60
Standard,HAR-B,74.05,72.74,84.62±0.36,95.72±0.66,96.49±0.33,93.03±0.88,97.73±0.67,98.32±0.32
Standard,G-A,56.64,87.5,74.54±0.91,94.56±1.34,84.84±2.17,75.21±2.63,92.13±0.43,96.64±0.91
Standard,G-B,92.92,93.37,95.00±0.13,96.11±0.18,96.28±0.22,96.10±0.18,97.13±0.23,96.43±0.14
Standard,Average,71.17,77.81,82.66,93.77,92.0,88.94,94.76,96.65
LOSO,AW-A,64.4,55.57,68.08±6.21,86.14±12.90,87.32±6.15,76.83±15.50,84.86±12.46,93.33±3.78
LOSO,AW-B,56.04,41.52,58.80±12.59,83.94±11.05,80.67±9.48,64.00±12.10,81.52±7.85,89.45±5.97
LOSO,G-A,29.41,34.11,26.15±14.03,39.81±13.35,35.96±12.96,36.70±11.42,41.93±12.34,52.70±13.18
LOSO,G-B,74.87,74.75,80.82±4.16,81.65±3.35,79.87±4.29,78.91±4.60,83.00±4.04,82.71±3.96
LOSO,Average,56.18,51.49,58.46,72.88,70.96,64.11,72.83,79.55
