dataset,DTW,XGBoost,ROCKET,LightTS,DLinear,LSTM,LSTNet,LSSL,TCN,TimesNet,Transformer,Reformer,Informer,Pyraformer,Autoformer,Non-Stationary Transformer,FEDformer,ETSformer,Flowformer,PatchTST,OneFitsAll,T-Loss,TNC,TS2Vec,TS-TCC,TST,MOMENT,LETS-C
EthanolConcentration,32.3,43.7,45.2,29.7,32.6,32.3,39.9,31.1,28.9,35.7,32.7,31.9,31.6,30.8,31.6,32.7,31.2,28.1,33.8,26.2,34.2,20.5,29.7,30.8,28.5,26.2,35.7,52.9
FaceDetection,52.9,63.3,64.7,67.5,68.0,57.7,65.7,66.7,52.8,68.6,67.3,68.6,67.0,65.7,68.4,68.0,66.0,66.3,67.6,68.5,69.2,51.3,53.6,50.1,54.4,53.4,63.3,68.9
Handwriting,28.6,15.8,58.8,26.1,27.0,15.2,25.8,24.6,53.3,32.1,32.0,27.4,32.8,29.4,36.7,31.6,28.0,32.5,33.8,25.9,32.7,45.1,24.9,51.5,49.8,22.5,30.8,23.8
Heartbeat,71.7,73.2,75.6,75.1,75.1,72.2,77.1,72.7,75.6,78.0,76.1,77.1,80.5,75.6,74.6,73.7,73.7,71.2,77.6,66.8,77.2,74.1,74.6,68.3,75.1,74.6,72.2,78.0
JapaneseVowels,94.9,86.5,96.2,96.2,96.2,79.7,98.1,98.4,98.9,98.4,98.7,97.8,98.9,98.4,96.2,99.2,98.4,95.9,98.9,96.0,98.6,98.9,97.8,98.4,93.0,97.8,71.6,99.2
PEMS-SF,71.1,98.3,75.1,88.4,75.1,39.9,86.7,86.1,68.8,89.6,82.1,82.7,81.5,83.2,82.7,87.3,80.9,86.0,83.8,87.9,87.9,67.6,69.9,68.2,73.4,74.0,89.6,93.1
SelfRegulationSCP1,77.7,84.6,90.8,89.8,87.3,68.9,84.0,90.8,84.6,91.8,92.2,90.4,90.1,88.1,84.0,89.4,88.7,89.6,92.5,85.7,93.2,84.3,79.9,81.2,82.3,75.4,84.0,93.2
SelfRegulationSCP2,53.9,48.9,53.3,51.1,50.5,46.6,52.8,52.2,55.6,57.2,53.9,56.7,53.3,53.3,50.6,57.2,54.4,55.0,56.1,53.3,59.4,53.9,55.0,57.8,53.3,55.0,47.8,62.8
SpokenArabicDigits,96.3,69.6,71.2,100.0,81.4,31.9,100.0,100.0,95.6,99.0,98.4,97.0,100.0,99.6,100.0,100.0,100.0,100.0,98.8,97.2,99.2,90.5,93.4,98.8,97.0,92.3,98.1,99.2
UWaveGestureLibrary,90.3,75.9,94.4,80.3,82.1,41.2,87.8,85.9,88.4,85.3,85.6,85.6,85.6,83.4,85.9,87.5,85.3,85.0,86.6,85.0,88.1,87.5,75.9,90.6,75.3,57.5,90.9,90.6
