dataset,nn-DTW,HIVE_COTE_V1,HIVE_COTE_V2,MLP,MiniRocket,InceptionTime,MCNN,MCDCNN,TCN,ConvTimeNet,AutoFormer,Informer,TimesNet,GPT4TS,CrossTimeNet,Time-LLM,Time-FFM,TableTime
ArticularyWordRecognition,0.9667,0.9756,0.9233,0.9822,0.9433,0.9807,0.9767,0.9789,0.9033,0.9844,0.5733,0.9811,0.98,0.9778,0.9367,0.7333,0.9733,0.9733
AtrialFibrillation,0.3333,0.2667,0.2,0.3556,0.4444,0.4533,0.3778,0.4444,0.4,0.4444,0.4667,0.2889,0.3333,0.3778,0.3333,0.4,0.3333,0.6667
Blink,0.5667,0.9978,0.9956,0.7259,0.8793,0.9165,0.9556,0.9763,0.7904,0.9544,0.5881,0.9378,0.9474,0.9296,0.9521,0.5556,0.6911,0.9222
Cricket,0.9654,0.9547,0.9306,0.9954,0.9537,0.9972,0.9259,0.9583,0.9537,0.9769,0.7917,0.9444,0.9213,0.9352,0.9761,0.7083,0.9415,0.9822
ERing,0.9333,0.943,0.9222,0.7642,0.9728,0.8859,0.9222,0.9358,0.5667,0.8111,0.6296,0.9432,0.9185,0.9358,0.8296,0.7519,0.8667,0.9518
FaceDetection,0.5184,0.5376,0.5474,0.669,0.6065,0.6818,0.6747,0.5,0.6801,0.6613,0.5749,0.5936,0.6109,0.5821,0.5649,0.5482,0.5963,0.6771
FingerMovements,0.54,0.49,0.53,0.5933,0.5567,0.5985,0.5567,0.58,0.51,0.61,0.56,0.5867,0.57,0.5867,0.6058,0.6,0.56,0.64
SelfRegulationSCP2,0.4889,0.5222,0.5278,0.5611,0.537,0.5789,0.5648,0.5407,0.5148,0.5852,0.5167,0.5611,0.5574,0.5611,0.5709,0.5667,0.5722,0.5889
StandWalkJump,0.2,0.6,0.4,0.4889,0.6444,0.5733,0.5333,0.6,0.3778,0.3333,0.4444,0.4667,0.4222,0.4444,0.4667,0.6,0.4,0.7333
UWaveGestureLibrary,0.8906,0.8875,0.8725,0.6281,0.9365,0.8956,0.8563,0.8552,0.7531,0.8635,0.4906,0.8656,0.8656,0.8542,0.775,0.4438,0.8688,0.8906
