dataset,TST_pretrained,TST_sup_only,Rocket,XGBoost,LSTM,Frans_et_al,DTW_D
EthanolConcentration,0.326,0.337,0.452,0.437,0.323,0.289,0.323
FaceDetection,0.689,0.681,0.647,0.633,0.577,0.528,0.529
Handwriting,0.359,0.305,0.588,0.158,0.152,0.533,0.286
Heartbeat,0.776,0.776,0.756,0.732,0.722,0.756,0.717
JapaneseVowels,0.997,0.994,0.962,0.865,0.797,0.989,0.949
InsectWingBeat,0.687,0.684,,0.369,0.176,0.16,
PEMS-SF,0.896,0.919,0.751,0.983,0.399,0.688,0.711
SelfRegulationSCP1,0.922,0.925,0.908,0.846,0.689,0.846,0.775
SelfRegulationSCP2,0.604,0.589,0.533,0.489,0.466,0.556,0.539
SpokenArabicDigits,0.998,0.993,0.712,0.696,0.319,0.956,0.963
UWaveGestureLibrary,0.913,0.903,0.944,0.759,0.412,0.884,0.903
