Dataset,CMFM_C5B,CMFM_RF,CMFM_SVM,CMFM_1NN_ED,LCEM,XGBM,RFM,MLSTM_FCN,WEASEL_MUSE,ED_1NN,DTW_1NN_I,DTW_1NN_D,ED_1NN_NORM,DTW_1NN_I_NORM,DTW_1NN_D_NORM
ArticularyWordRecognition,0.92,0.988,0.973,0.987,0.993,0.99,0.99,0.986,0.993,0.97,0.98,0.987,0.97,0.98,0.987
AtrialFibrillation,0.067,0.191,0.267,0.267,0.467,0.4,0.33299999999999996,0.2,0.267,0.267,0.267,0.2,0.267,0.267,0.22
BasicMotions,0.9,0.982,0.975,0.975,1.0,1.0,1.0,1.0,1.0,0.675,1.0,0.975,0.6759999999999999,1.0,0.975
CharacterTrajectories,0.9420000000000001,0.97,0.97,0.9329999999999999,0.9790000000000001,0.983,0.985,0.993,0.99,0.9640000000000001,0.9690000000000001,0.99,0.9640000000000001,0.9690000000000001,0.9890000000000001
Cricket,0.861,0.977,0.958,0.986,0.986,0.972,0.986,0.986,0.986,0.9440000000000001,0.986,1.0,0.9440000000000001,0.986,1.0
DuckDuckGeese,0.54,0.51,0.42,0.46,0.375,0.4,0.4,0.675,0.575,0.275,0.55,0.6,0.275,0.55,0.6
EigenWorms,0.847,0.895,0.847,0.779,0.527,0.55,1.0,0.809,0.89,0.55,0.603,0.618,0.5489999999999999,,0.618
Epilepsy,0.993,0.9990000000000001,0.978,0.9640000000000001,0.986,0.978,0.986,0.9640000000000001,0.993,0.667,0.978,0.9640000000000001,0.6659999999999999,0.978,0.9640000000000001
ERing,0.807,0.9309999999999999,0.93,0.904,0.2,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133
EthanolConcentration,0.221,0.26,0.266,0.228,0.37200000000000005,0.42200000000000004,0.433,0.27399999999999997,0.316,0.293,0.304,0.32299999999999995,0.293,0.304,0.32299999999999995
FaceDetection,0.557,0.557,0.583,0.503,0.614,0.629,0.614,0.555,0.545,0.519,0.513,0.529,0.519,,0.529
FingerMovements,0.5,0.501,0.46,0.49,0.59,0.53,0.56,0.61,0.54,0.55,0.52,0.53,0.55,0.52,0.53
HandMovementDirection,0.17600000000000002,0.245,0.284,0.17600000000000002,0.649,0.541,0.5,0.37799999999999995,0.37799999999999995,0.27899999999999997,0.306,0.231,0.278,0.306,0.231
Handwriting,0.172,0.27399999999999997,0.187,0.23399999999999999,0.287,0.267,0.267,0.547,0.531,0.371,0.509,0.607,0.2,0.316,0.28600000000000003
Heartbeat,0.7609999999999999,0.768,0.727,0.624,0.7609999999999999,0.693,0.8,0.7140000000000001,0.727,0.62,0.659,0.7170000000000001,0.619,0.6579999999999999,0.7170000000000001
InsectWingbeat,,0.677,0.1,0.266,0.228,0.237,0.22399999999999998,0.105,,0.128,,0.115,0.128,,
JapaneseVowels,0.795,0.8370000000000001,0.778,0.695,0.978,0.968,0.97,0.992,0.978,0.924,0.9590000000000001,0.9490000000000001,0.924,0.9590000000000001,0.9490000000000001
Libras,0.8220000000000001,0.847,0.8170000000000001,0.8,0.772,0.767,0.7829999999999999,0.922,0.894,0.833,0.894,0.872,0.833,0.894,0.87
LSST,0.652,0.6729999999999999,0.6559999999999999,0.504,0.652,0.633,0.612,0.6459999999999999,0.628,0.456,0.575,0.551,0.456,0.575,0.551
MotorImagery,0.49,0.503,0.5,0.4,0.6,0.46,0.55,0.53,0.5,0.51,0.39,0.5,0.51,,0.5
NATOPS,0.872,0.835,0.8,0.7609999999999999,0.9159999999999999,0.9,0.9109999999999999,0.961,0.883,0.85,0.85,0.883,0.85,0.85,0.883
PEMS-SF,0.9129999999999999,0.9990000000000001,0.665,0.78,0.9420000000000001,0.983,0.983,0.653,,0.705,0.7340000000000001,0.711,0.705,0.7340000000000001,0.711
PenDigits,0.937,0.9520000000000001,0.9590000000000001,0.937,0.977,0.951,0.951,0.987,0.9690000000000001,0.973,0.9390000000000001,0.977,0.973,0.9390000000000001,0.977
PhonemeSpectra,0.228,0.284,0.247,0.171,0.28800000000000003,0.187,0.222,0.275,0.19,0.10400000000000001,0.151,0.151,0.10400000000000001,0.151,0.151
RacketSports,0.73,0.8059999999999999,0.809,0.6970000000000001,0.941,0.9279999999999999,0.9209999999999999,0.882,0.914,0.8640000000000001,0.8420000000000001,0.8029999999999999,0.868,0.8420000000000001,0.8029999999999999
SelfRegulationSCP1,0.816,0.82,0.7709999999999999,0.7,0.8390000000000001,0.8290000000000001,0.826,0.867,0.7440000000000001,0.7709999999999999,0.765,0.775,0.7709999999999999,0.765,0.775
SelfRegulationSCP2,0.483,0.418,0.45,0.461,0.55,0.483,0.478,0.522,0.522,0.483,0.5329999999999999,0.539,0.483,0.5329999999999999,0.539
SpokenArabicDigits,0.9329999999999999,0.976,0.9790000000000001,0.915,0.973,0.97,0.968,0.9940000000000001,0.982,0.9670000000000001,0.96,0.963,0.9670000000000001,0.9590000000000001,0.963
StandWalkJump,0.267,0.363,0.267,0.2,0.4,0.33299999999999996,0.467,0.467,0.33299999999999996,0.2,0.33299999999999996,0.2,0.2,0.33299999999999996,0.2
UWaveGestureLibrary,0.65,0.775,0.728,0.7440000000000001,0.897,0.894,0.9,0.857,0.903,0.8809999999999999,0.8690000000000001,0.903,0.8809999999999999,0.868,0.903
