Dataset,ED-1NN,DTW-1NN,MLSTM-FCN,ShapeNet,WEASEL+MUSE,TapNet,MR-PETSC,SMATE,DA-Net,MF-Net,MTSC_FF,FapFormer
ArticularyWordRecognition,0.97,0.98,0.973,0.987,0.99,0.987,0.997,0.993,0.98,0.983,0.983,0.99
AtrialFibrillation,0.267,0.267,0.267,0.4,0.333,0.333,0.4,0.133,0.414,0.466,0.533,0.677
BasicMotions,0.675,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.925,0.95,0.95,1.0
CharacterTrajectories,0.964,0.969,0.985,0.98,0.99,0.997,0.941,0.984,0.998,0.958,0.986,0.992
Cricket,0.944,0.986,0.917,0.986,1.0,0.958,1.0,0.986,0.861,0.944,0.986,0.972
FaceDetection,0.519,0.513,0.545,0.602,0.545,0.556,0.574,0.563,0.645,0.664,0.67,0.594
HandMovementDirection,0.279,0.306,0.365,0.338,0.365,0.378,0.365,0.554,0.347,0.445,0.541,0.589
Heartbeat,0.62,0.659,0.663,0.756,0.727,0.751,0.702,0.727,0.626,0.692,0.693,0.682
JapaneseVowels,0.924,0.959,0.976,0.984,0.973,0.965,,0.965,0.938,0.97,0.978,0.981
Libras,0.833,0.894,0.856,0.856,0.878,0.85,0.845,0.849,0.8,0.85,0.861,0.842
MotorImagery,0.51,0.39,0.51,0.61,0.5,0.59,0.49,0.59,0.55,0.54,0.55,0.59
NATOPS,0.86,0.85,0.889,0.883,0.87,0.939,0.917,0.883,0.877,0.927,0.889,0.941
PenDigits,0.973,0.939,0.978,0.977,0.948,0.98,0.905,0.98,0.989,0.983,0.979,0.975
PEMS-SF,0.705,0.734,0.699,0.751,,0.751,0.861,0.763,0.867,0.884,0.884,0.821
SelfRegulationSCP1,0.771,0.765,0.874,0.782,0.71,0.739,0.788,0.887,0.924,0.911,0.928,0.913
SelfRegulationSCP2,0.483,0.533,0.472,0.578,0.46,0.55,0.533,0.567,0.561,0.533,0.511,0.581
StandWalkJump,0.2,0.333,0.067,0.533,0.333,0.4,0.4,0.533,0.4,0.4,0.467,0.62
