Dataset,TFTN,ConvTran,TST,InceptionTime,Disjoint-CNN,ResNet,TodyNet,SVP-T,ShapeNet
ArticularyWordRecognition,0.9867,0.9833,0.9833,0.9866,0.9866,0.98,0.987,0.993,0.987
AtrialFibrillation,0.6,0.4,0.2,0.2,0.4,0.3333,0.467,0.4,0.4
BasicMotions,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0
Cricket,1.0,1.0,1.0,0.9861,0.9772,0.9722,1.0,1.0,0.986
DuckDuckGeese,0.78,0.62,0.5,0.36,0.5,0.24,0.58,0.7,0.725
Epilepsy,0.9928,0.9855,0.9492,0.9928,0.8898,0.9928,0.971,0.986,0.987
ERing,0.9556,0.9629,0.9296,0.9296,0.9111,0.9296,0.915,0.937,0.133
EthanolConcentration,0.3726,0.3612,0.151,0.3489,0.2775,0.3155,0.35,0.331,0.312
FaceDetection,0.67,0.6722,0.6542,0.5885,0.5665,0.5948,0.627,0.512,0.602
FingerMovements,0.55,0.56,0.58,0.56,0.54,0.54,0.57,0.6,0.58
HandMovementDirection,0.5405,0.4054,0.5405,0.3783,0.5405,0.2838,0.649,0.392,0.338
Handwriting,0.3282,0.3752,0.2752,0.3011,0.2372,0.18,0.436,0.433,0.451
Heartbeat,0.7415,0.7853,0.6975,0.6248,0.717,0.7268,0.756,0.79,0.756
Libras,0.8722,0.9277,0.8222,0.8722,0.8577,0.8389,0.85,0.883,0.856
NATOPS,0.9444,0.9444,0.95,0.9166,0.9277,0.8944,0.972,0.906,0.883
SelfRegulationSCP1,0.8396,0.918,0.86,0.8634,0.8839,0.8362,0.898,0.884,0.782
SelfRegulationSCP2,0.5778,0.5833,0.5333,0.4722,0.5166,0.5,0.55,0.6,0.578
StandWalkJump,0.5333,0.3333,0.3333,0.4,0.3333,0.4,0.467,0.467,0.533
UWaveGestureLibrary,0.8969,0.8906,0.8906,0.9093,0.8906,0.85,0.85,0.941,0.906
