Dataset,Avg Train,HC2,ROCKET,Disjoint-CNN,FCN,ResNet,IT,TST,Auto-former,FED-former,DLinear,Patch TST,Times Net,Cross-former,Conv Tran,DKN,KATN,SupCon-TSC,RTF,Patch MTSC
FaceDetection,2945,0.660,0.562,0.566,0.503,0.594,0.588,0.654,0.585,0.688,0.673,0.668,0.677,0.661,0.672,0.631,0.664,0.565,0.539,0.680
Insectwingbeat,2500,N/A,0.418,0.630,0.600,0.650,0.695,0.674,N/A,N/A,N/A,0.100,0.100,0.100,0.713,0.362,0.515,0.667,0.574,0.716
PenDigits,750,0.979,0.984,0.970,0.985,0.977,0.979,0.969,0.982,0.985,0.851,0.974,0.984,0.936,0.987,0.948,0.982,0.993,0.985,0.993
ArabicDigits,660,N/A,0.993,0.985,0.983,0.983,0.987,0.974,0.985,0.988,0.965,0.977,0.988,0.964,0.994,0.963,0.983,0.995,0.979,0.995
LSST,176,0.642,0.525,0.555,0.561,0.572,0.445,0.284,0.418,0.363,0.317,0.519,0.382,0.428,0.615,0.347,0.407,0.657,0.551,0.668
FingerMovement,158,0.530,0.550,0.540,0.530,0.540,0.560,0.580,0.550,0.540,0.570,0.580,0.530,0.640,0.560,0.600,0.620,0.610,0.590,0.614
MotorImagery,139,0.540,0.560,0.490,0.550,0.520,0.530,0.480,0.560,0.580,0.600,0.610,0.610,0.610,0.560,0.620,0.620,0.590,0.530,0.600
SelfRegSCP1,134,0.890,0.860,0.883,0.781,0.836,0.863,0.860,0.553,0.577,0.881,0.795,0.908,0.924,0.918,0.913,0.908,0.730,0.816,0.904
Heartbeat,102,0.731,0.678,0.717,0.678,0.726,0.624,0.697,0.737,0.741,0.707,0.722,0.732,0.765,0.785,0.765,0.762,0.746,0.761,0.785
SelfRegSCP2,100,0.500,0.583,0.516,0.466,0.500,0.472,0.533,0.544,0.522,0.528,0.506,0.908,0.533,0.583,0.600,0.600,0.550,0.622,0.611
PhonemeSpectra,85,0.290,0.189,0.282,0.159,0.159,0.158,0.089,0.086,0.099,0.069,0.081,0.146,0.075,0.306,0.525,0.366,0.322,0.190,0.261
CharacterTraject,72,N/A,0.991,0.994,0.986,0.994,0.988,0.982,0.894,0.914,0.986,0.976,0.987,N/A,0.992,0.986,0.993,0.997,0.979,0.997
EthanolConcen,66,0.771,0.346,0.277,0.323,0.315,0.348,0.151,0.255,0.281,0.270,0.259,0.285,0.349,0.361,0.372,0.399,0.231,0.293,0.623
HandMovement,66,0.473,0.418,0.540,0.297,0.283,0.378,0.540,0.378,0.365,0.662,0.514,0.595,0.581,0.405,0.662,0.688,0.338,0.351,0.662
PEMS-SF,39,1.000,0.826,0.890,0.832,0.739,0.890,0.757,0.838,0.867,0.809,0.809,0.844,0.820,0.828,0.930,0.953,0.861,0.775,0.804
RacketSports,38,0.907,0.907,0.835,0.822,0.822,0.822,0.881,0.822,0.822,0.730,0.757,0.855,0.815,0.861,0.879,0.875,0.875,0.868,0.888
Epilepsy,35,1.000,0.971,0.889,0.992,0.992,0.992,0.949,0.746,0.804,0.565,0.913,0.877,0.731,0.985,0.979,0.913,0.993,0.978,0.985
JapaneseVowels,30,N/A,0.956,0.975,0.973,0.913,0.970,0.983,0.951,0.968,0.949,0.935,0.954,0.989,0.989,0.930,0.968,0.987,0.986,0.989
NATOPS,30,0.894,0.894,0.927,0.877,0.894,0.916,0.950,0.744,0.828,0.949,0.756,0.833,0.883,0.944,0.872,0.889,0.894,0.940,0.950
EigenWorms,30,0.946,0.870,0.593,0.419,0.419,0.526,0.450,0.504,N/A,0.321,N/A,N/A,N/A,0.593,0.628,0.733,0.885,0.855,0.557
UWaveGesture,30,0.928,0.918,0.890,0.850,0.850,0.909,0.890,0.466,0.434,0.812,0.828,0.863,0.815,0.890,0.897,0.881,0.812,0.925,0.903
Libras,12,0.933,0.866,0.857,0.850,0.838,0.872,0.822,0.767,0.867,0.506,0.761,0.761,0.761,0.927,0.900,0.839,0.850,0.906,0.888
ArticularyWord,11,0.993,0.993,0.986,0.980,0.980,0.986,0.983,0.567,0.593,0.963,0.927,0.973,0.980,0.983,0.993,0.993,0.980,0.990,0.993
BasicMotions,11,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.550,0.800,0.850,0.700,0.973,0.900,1.000,1.000,1.000,1.000,1.000,1.000
DuckDuckGeese,10,0.560,0.500,0.500,0.360,0.240,0.360,0.500,0.340,0.260,0.500,0.220,0.580,N/A,0.620,0.560,0.660,0.540,0.641,0.570
Cricket,9,1.000,1.000,0.977,0.930,0.972,0.986,1.000,0.194,0.389,0.861,0.889,0.903,0.847,1.000,0.951,1.000,1.000,1.000,1.000
Handwriting,6,0.548,0.537,0.237,0.376,0.180,0.301,0.275,0.147,0.185,0.189,0.251,0.311,0.262,0.375,0.231,0.320,0.566,0.568,0.438
ERing,6,0.988,0.959,0.911,0.903,0.929,0.929,0.929,0.715,0.733,0.844,0.937,0.937,N/A,0.962,0.933,0.956,N/A,0.926,0.951
AtrialFibrillation,5,0.266,0.133,0.400,0.333,0.333,0.200,0.200,0.333,0.467,0.200,0.333,0.333,0.466,0.400,0.467,0.533,0.467,0.400,0.533
StandWalkJump,4,0.466,0.533,0.333,0.400,0.400,0.400,0.333,0.333,0.467,0.333,0.467,0.533,0.533,0.333,0.533,0.600,0.600,0.469,0.600
