Dataset,DTW,XGBoost,ROCKET,LSTM,UNSUPER,Transformer,Linear,Reformer,Longformer,Performer,YOSO-E,SOFT,cosFormer,Flowformer
ETHANOLCONCENTRATION,32.3,43.7,45.2,32.3,28.9,32.7,31.9,31.9,32.3,31.2,31.2,32.3,33.5,33.8
FACEDETECTION,52.9,63.3,64.7,57.7,52.8,67.3,67.0,68.6,62.6,67.0,67.3,64.8,67.1,67.6
HANDWRITING,28.6,15.8,58.8,15.2,53.3,32.0,34.7,27.4,39.6,32.1,30.9,28.9,34.7,33.8
HEARTBEAT,71.7,73.2,75.6,72.2,75.6,76.1,76.6,77.1,78.0,75.6,76.5,77.1,75.6,77.6
JAPANESEVOWELS,94.9,86.5,96.2,79.7,98.9,98.7,99.2,97.8,98.9,98.1,98.6,98.3,99.2,98.9
PEMS-SF,71.1,98.3,75.1,39.9,68.8,82.1,82.1,82.7,83.8,80.9,85.2,83.2,80.9,83.8
SELFREGULATIONSCP1,77.7,84.6,90.8,68.9,84.6,92.2,92.5,90.4,90.1,91.5,91.1,91.1,91.8,92.5
SELFREGULATIONSCP2,53.9,48.9,53.3,46.6,55.6,53.9,56.7,56.7,55.6,56.7,53.9,55.0,55.6,56.1
SPOKENARABICDIGITS,96.3,69.6,71.2,31.9,95.6,98.4,98.0,97.0,94.4,98.4,98.9,98.4,98.8,98.8
UWAVEGESTURELIBRARY,90.3,75.9,94.4,41.2,88.4,85.6,85.0,85.6,87.5,85.3,88.4,85.6,85.0,86.6
