dataset,WEASEL+MUSE,MLSTM-FCN,TapNet,ShapeNet,TodyNet,SVPT,ShapeFormer,MPTSNet,SGN
ArticularyWordRecognition,99.0,97.3,98.7,98.7,98.7,99.3,99.0,97.7,99.0
AtrialFibrillation,33.3,26.7,33.3,40.0,46.7,40.0,53.3,53.3,66.7
BasicMotions,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cricket,100.0,91.7,95.8,98.6,100.0,100.0,94.4,94.4,100.0
DuckDuckGeese,57.5,67.5,57.5,72.5,58.0,70.0,64.0,68.0,64.0
Epilepsy,100.0,76.1,97.1,98.7,97.1,98.6,98.6,97.1,97.8
EthanolConcentration,13.3,37.3,32.3,31.2,35.0,33.1,41.1,43.3,44.5
ERing,43.0,13.3,13.3,13.3,91.5,93.7,87.4,94.4,95.9
FaceDetection,54.5,54.5,55.6,60.2,62.7,51.2,65.8,69.8,70.3
FingerMovements,49.0,58.0,53.0,58.9,67.6,60.0,55.0,64.0,64.0
HandMovementDirection,36.5,36.5,37.8,33.8,64.9,39.2,41.9,63.5,75.7
Handwriting,60.5,28.6,35.7,45.1,43.6,43.3,30.2,34.4,50.4
Heartbeat,72.7,66.3,75.1,75.6,75.6,79.0,81.5,75.6,77.1
Libras,87.8,85.6,85.0,85.6,85.0,88.3,95.5,87.2,83.9
LSST,59.0,37.3,56.8,59.0,61.5,66.6,63.8,60.4,63.7
MotorImagery,50.0,51.0,59.0,61.0,64.0,65.0,,65.0,65.0
NATOPS,87.0,88.9,93.9,88.3,97.2,90.6,96.1,94.4,98.3
PenDigits,94.8,97.8,98.0,97.7,98.7,98.3,99.1,98.9,99.1
PEMS-SF,,69.9,75.1,75.1,78.0,86.7,,94.2,88.4
PhonemeSpectra,19.0,11.0,17.5,29.8,30.9,17.6,29.3,14.4,23.1
RacketSports,93.4,80.3,86.8,88.2,80.3,84.2,88.8,87.5,93.4
SelfRegulationSCP1,71.0,87.4,65.2,78.2,89.8,88.4,91.8,92.8,93.9
SelfRegulationSCP2,46.0,47.2,55.0,57.8,55.0,60.0,56.1,57.2,60.6
StandWalkJump,33.3,6.7,40.0,53.3,46.7,46.7,66.7,53.3,53.3
UWaveGestureLibrary,91.6,89.1,89.4,90.6,85.0,94.1,90.0,88.1,92.2
