dataset,WEASEL+MUSE,MiniRocket,TST,LCEM,Disjoint-CNN,ShapeNet,ConvTran,SVP-T,STIFormer
ArticularyWordRecognition,0.99,0.992,0.983,0.993,0.984,0.987,0.983,0.993,0.993
AtrialFibrillation,0.333,0.133,0.2,0.467,0.375,0.4,0.4,0.4,0.567
BasicMotions,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0
CharacterTrajectories,0.99,0.993,0.96,0.979,,0.98,0.992,0.99,0.991
Cricket,1.0,0.986,0.958,0.986,0.999,0.986,1.0,1.0,1.0
DuckDuckGeese,0.575,0.65,0.48,0.375,0.644,0.725,0.62,0.7,0.68
ERing,0.133,0.981,0.933,0.2,0.964,0.133,0.963,0.937,0.975
EigenWorms,0.89,0.962,,0.527,0.593,0.878,0.593,0.925,0.648
Epilepsy,1.0,1.0,0.92,0.986,0.989,0.987,0.986,0.986,0.991
EthanolConcentration,0.43,0.468,0.337,0.372,0.309,0.312,0.361,0.331,0.354
FaceDetection,0.545,0.62,0.681,0.614,0.567,0.602,0.672,0.512,0.664
FingerMovements,0.49,0.55,0.776,0.59,0.604,0.58,0.56,0.6,0.688
HandMovementDirection,0.365,0.392,0.608,0.649,0.324,0.338,0.405,0.392,0.555
Handwriting,0.605,0.507,0.305,0.287,0.321,0.452,0.375,0.433,0.489
Heartbeat,0.727,0.771,0.712,0.761,0.759,0.756,0.785,0.79,0.8
InsectWingbeat,,0.595,0.676,0.228,,0.25,0.713,0.184,0.705
JapaneseVowels,0.973,0.989,0.994,0.978,,0.984,0.989,0.978,0.997
LSST,0.59,0.643,0.381,0.652,0.547,0.59,0.617,0.667,0.613
Libras,0.878,0.922,0.844,0.772,0.916,0.856,0.928,0.883,0.958
MotorImagery,0.5,0.55,0.45,0.6,0.569,0.61,0.56,0.65,0.63
NATOPS,0.87,0.928,0.9,0.916,0.967,0.883,0.944,0.906,0.982
PEMS-SF,,0.522,0.919,0.942,0.818,0.751,0.828,0.867,0.923
PenDigits,0.948,,0.974,0.977,,0.98,0.987,0.983,0.99
PhonemeSpectra,0.19,0.292,0.088,0.288,0.368,0.175,0.306,0.176,0.297
RacketSports,0.934,0.867,0.829,0.941,0.846,0.868,0.862,0.842,0.918
SelfRegulationSCP1,0.71,0.925,0.925,0.839,0.903,0.782,0.918,0.884,0.921
SelfRegulationSCP2,0.46,0.522,0.588,0.55,0.538,0.578,0.583,0.6,0.578
SpokenArabicDigits,0.982,0.62,0.993,0.973,,0.975,,0.986,0.995
StandWalkJump,0.333,0.333,0.267,0.4,0.436,0.533,0.333,0.467,0.6
UWaveGestureLibrary,0.916,0.938,0.903,0.897,0.924,0.906,0.891,0.941,0.935
