Dataset,SGN,MCTNet,DTCM,MDFormer,ConvTran,ShapeFormer,CSTFormer,Hformer,PatchMTSC,MSTformer,KATN,STIFormer
ArticularyWordRecognition,0.99,0.943,0.99,0.983,0.9833,0.993,0.991,0.983,0.993,0.991,0.993,0.993
AtrialFibrillation,0.667,0.667,0.467,0.6,0.4,0.66,0.633,0.573,0.533,0.633,0.533,0.567
BasicMotions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CharacterTrajectories,,0.988,0.961,0.99,0.9922,0.996,1.0,0.994,0.997,1.0,0.993,0.991
Cricket,1.0,0.972,0.972,0.986,1.0,1.0,1.0,0.981,1.0,1.0,1.0,1.0
DuckDuckGeese,0.64,,0.72,0.5,0.62,0.725,0.826,0.625,0.57,0.826,0.66,0.68
EigenWorms,,0.702,,0.901,0.5934,0.925,0.9570000000000001,0.867,0.557,0.9570000000000001,0.733,0.648
Epilepsy,0.978,0.971,0.935,0.986,0.9855,0.993,0.996,0.983,0.985,0.996,0.913,0.991
ERing,0.9590000000000001,,0.364,0.952,0.9629,0.966,0.8690000000000001,0.913,0.951,0.971,0.399,0.975
EthanolConcentration,0.445,0.335,0.97,0.46,0.3612,0.378,0.436,0.386,0.623,0.636,0.956,0.354
FaceDetection,0.703,0.663,0.702,0.653,0.6722,0.658,0.7340000000000001,0.687,0.68,0.7340000000000001,0.664,0.664
FingerMovements,0.64,0.66,0.64,0.65,0.56,0.7,0.61,0.602,0.614,0.78,0.62,0.688
HandMovementDirection,0.757,,0.716,0.446,0.4054,0.486,0.529,0.703,0.662,0.659,0.688,0.555
Handwriting,0.504,0.147,0.299,0.261,0.3752,0.507,0.821,0.466,0.438,0.821,0.32,0.489
Heartbeat,0.7709999999999999,0.766,0.78,0.79,0.7853,0.8,0.8140000000000001,0.793,0.785,0.924,0.762,0.8
InsectWingbeat,,,0.215,0.71,0.7132,0.314,0.836,0.65,0.716,0.836,0.515,0.705
JapaneseVowels,,0.97,0.97,0.978,0.9891,0.997,0.988,0.979,0.989,0.997,0.968,0.997
Libras,0.8390000000000001,0.894,0.772,0.894,0.9277,0.961,0.972,0.864,0.888,0.972,0.839,0.958
LSST,0.637,0.582,0.398,0.594,0.6156,0.7,0.872,0.64,0.668,0.872,0.407,0.613
MotorImagery,0.65,0.67,0.62,0.66,0.56,0.67,0.735,0.632,0.6,0.735,0.62,0.63
NATOPS,0.983,0.961,0.95,0.911,0.9444,0.989,0.982,0.972,0.95,0.982,0.889,0.982
PEMS-SF,0.884,0.902,0.948,0.96,0.8284,0.925,0.995,0.837,0.804,0.995,0.953,0.923
PenDigits,0.991,0.98,0.923,0.988,0.9871,0.99,0.997,0.971,0.993,0.997,0.982,0.99
PhonemeSpectra,0.231,0.143,0.463,0.175,0.3062,0.293,0.335,0.283,0.261,0.485,0.366,0.297
RacketSports,0.934,0.882,0.868,0.895,0.8618,0.895,0.8809999999999999,0.872,0.888,0.446,0.875,0.918
SelfRegulationSCP1,0.9390000000000001,0.894,0.925,0.915,0.918,0.911,0.961,0.915,0.904,0.961,0.908,0.921
SelfRegulationSCP2,0.606,0.606,0.589,0.6,0.5833,0.633,0.7609999999999999,0.597,0.611,0.7609999999999999,0.6,0.578
SpokenArabicDigits,,0.981,0.946,0.989,0.9945,0.997,1.0,0.997,0.995,1.0,0.983,0.995
StandWalkJump,0.5329999999999999,0.733,0.667,0.733,0.3333,0.6,0.637,0.55,0.6,0.767,0.6,0.6
UWaveGestureLibrary,0.922,0.884,0.9,0.897,0.8906,0.922,0.9540000000000001,0.916,0.903,0.9540000000000001,0.881,0.935
