paper,uea_datasets_used,lt_10,gte_25,year
Nguyen2022FourierFormer,10,False,False,2022
Nguyen2022GFiSHformers,15,False,False,2022
Wu2022FlowFormer,10,False,False,2022
Chen2023PrimalAttention,10,False,False,2023
Cheng2023FormerTime,10,False,False,2023
Du2023MFNet,14,False,False,2023
Wu2023MCTNet,26,False,True,2023
Foumani2024ConvTran,30,False,True,2024
Le2024ShapeFormer,30,False,True,2024
Li2024MEDT,5,True,False,2024
Wang2024AutoLDT,4,True,False,2024
Wang2024DCSformer,17,False,False,2024
Wu2024MSTformer,30,False,True,2024
Xiao2024DTCM,29,False,True,2024
Zhang2024STIFormer,30,False,True,2024
Du2025MDFormer,30,False,True,2025
Gu2025PBCCSA,17,False,False,2025
Nguyen2025AttentionTransformers,10,False,False,2025
Qiu2025CSTFormer,30,False,True,2025
Tang2025Hformer,30,False,True,2025
Wei2025PatchMTSC,30,False,True,2025
Wu2025Similarity,16,False,False,2025
Xiao2025KATN,30,False,True,2025
Ying2025SGN,25,False,True,2025
Yu2025DTWformer,16,False,False,2025
Huang2026TFTN,19,False,False,2026
