Estimators:,Arsenal,CNN,CSP-SVM,DrCIF,HC2,IT,MRHydra,R-KNN,R-MDM,STC,SVM,TDE
Alzheimers,0.5116279069767442,0.4186046511627907,0.3953488372093023,0.4883720930232558,0.37209302325581395,0.37209302325581395,0.5116279069767442,0.3023255813953488,0.3953488372093023,0.3953488372093023,0.4186046511627907,0.37209302325581395
Blink,0.9733333333333334,0.7844444444444445,0.8733333333333333,0.9777777777777777,1.0,0.7311111111111112,0.9777777777777777,0.5466666666666666,0.3288888888888889,0.9977777777777778,0.8044444444444444,0.9977777777777778
ButtonPress,1.0,0.7083333333333334,0.675,1.0,1.0,0.9833333333333333,1.0,0.975,0.95,0.9083333333333333,0.7416666666666667,1.0
EyesOpenShut,0.5238095238095238,0.5,0.3333333333333333,0.5238095238095238,0.4523809523809524,0.4523809523809524,0.42857142857142855,0.5238095238095238,0.5714285714285714,0.47619047619047616,0.5,0.42857142857142855
FaceDetection,0.5820090805902384,0.6572077185017026,0.5366061293984109,0.5964812712826334,0.6625993189557321,0.6716799091940976,0.5913734392735528,0.49545970488081725,0.5153234960272418,0.6339387060158911,0.6923950056753689,0.5854143019296254
FeetHands,0.6634920634920635,0.5042328042328043,0.555026455026455,0.674074074074074,0.7026455026455026,0.6386243386243386,0.647089947089947,0.5047619047619047,0.49682539682539684,0.6687830687830688,0.6507936507936508,0.6232804232804233
FingerMovements,0.57,0.49,0.51,0.48,0.54,0.56,0.58,0.56,0.5,0.56,0.49,0.5
HandMovementDirection,0.3918918918918919,0.5945945945945946,0.6081081081081081,0.5675675675675675,0.4189189189189189,0.4189189189189189,0.32432432432432434,0.3108108108108108,0.40540540540540543,0.527027027027027,0.5405405405405406,0.36486486486486486
ImaginedFeetHands,0.6770025839793282,0.6708010335917313,0.5452196382428941,0.6863049095607235,0.6987080103359173,0.6330749354005168,0.6356589147286822,0.5147286821705427,0.49870801033591733,0.6945736434108527,0.6811369509043927,0.6537467700258398
ImaginedOpenCloseFist,0.7052910052910053,0.5005291005291005,0.5814814814814815,0.7386243386243386,0.7777777777777778,0.735978835978836,0.7021164021164021,0.5126984126984127,0.5068783068783069,0.762962962962963,0.7322751322751323,0.68994708994709
InnerSpeech,0.26,0.235,0.26,0.25,0.27,0.23,0.255,0.26,0.26,0.205,0.26,0.27
LongIntervalTask,0.6794642857142857,0.6410714285714286,0.6785714285714286,0.6794642857142857,0.7116071428571429,0.6946428571428571,0.6928571428571428,0.6633928571428571,0.6008928571428571,0.6598214285714286,0.6785714285714286,0.6589285714285714
LowCost,0.6033333333333334,0.65,0.5033333333333333,0.72,0.675,0.64,0.585,0.5666666666666667,0.5033333333333333,0.6583333333333333,0.5483333333333333,0.6483333333333333
MatchingPennies,0.5914285714285714,0.5028571428571429,0.5885714285714285,0.5914285714285714,0.6128571428571429,0.52,0.5942857142857143,0.5571428571428572,0.57,0.5985714285714285,0.5528571428571428,0.5542857142857143
MindReading,0.5022970903522205,0.23124042879019907,0.35834609494640124,0.44869831546707506,0.49770290964777947,0.19142419601837674,0.4119448698315467,0.5482388973966309,0.4104134762633997,0.44716692189892804,0.2450229709035222,0.35222052067381315
MotorImagery,0.5,0.5,0.47,0.43,0.55,0.54,0.51,0.43,0.53,0.51,0.55,0.52
OpenCloseFist,0.737037037037037,0.5005291005291005,0.6105820105820106,0.737037037037037,0.7777777777777778,0.7518518518518519,0.707936507936508,0.5201058201058201,0.5132275132275133,0.7571428571428571,0.725925925925926,0.6693121693121693
PhotoStimulation,0.3888888888888889,0.4166666666666667,0.3888888888888889,0.3888888888888889,0.4444444444444444,0.2222222222222222,0.3888888888888889,0.3055555555555556,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4166666666666667
PronouncedSpeech,0.28,0.24,0.255,0.315,0.32,0.235,0.27,0.245,0.25,0.325,0.265,0.3
SelfRegulationSCP1,0.9180887372013652,0.8430034129692833,0.757679180887372,0.89419795221843,0.8771331058020477,0.8430034129692833,0.9488054607508533,0.5221843003412969,0.5733788395904437,0.8430034129692833,0.8191126279863481,0.8327645051194539
SelfRegulationSCP2,0.5444444444444444,0.48333333333333334,0.5,0.5555555555555556,0.55,0.5,0.5333333333333333,0.5333333333333333,0.49444444444444446,0.48333333333333334,0.5055555555555555,0.5388888888888889
ShortIntervalTask,0.7276785714285714,0.6455357142857143,0.6428571428571429,0.7133928571428572,0.6910714285714286,0.6919642857142857,0.7428571428571429,0.5678571428571428,0.5875,0.6785714285714286,0.6446428571428572,0.5794642857142858
SitStand,0.423125,0.3234375,0.26125,0.4078125,0.4115625,0.336875,0.4196875,0.2840625,0.3403125,0.3553125,0.359375,0.348125
Sleep,0.5742738589211618,0.4887966804979253,0.5452282157676348,0.6008298755186722,0.6074688796680497,0.5576763485477179,0.5742738589211618,0.366804979253112,0.3029045643153527,0.5991701244813278,0.5477178423236515,0.5717842323651452
SongFamiliarity,0.5333333333333333,0.5186666666666667,0.5026666666666667,0.5253333333333333,0.504,0.4826666666666667,0.5133333333333333,0.52,0.5146666666666667,0.52,0.5093333333333333,0.48
VisualSpeech,0.215,0.26,0.26,0.235,0.29,0.26,0.235,0.29,0.24,0.295,0.245,0.295
