Estimators:,1NN-DTW,Arsenal,CIF-500,Catch22,DrCIF-500,Dummy,FreshPRINCE,HC2,MRHydra,QUANT,RDST,RIST,ROCKET,STC,TDE,h-inceptiontime,litetime-mv
AppliancesEnergy_disc,0.6428571428571429,0.8571428571428571,0.9047619047619048,0.8809523809523809,0.9047619047619048,0.8095238095238095,0.9523809523809523,0.8809523809523809,0.8333333333333334,0.9285714285714286,0.7857142857142857,0.9047619047619048,0.7857142857142857,0.8571428571428571,0.8095238095238095,0.5238095238095238,0.7380952380952381
ArticularyWordRecognition,0.9866666666666667,0.9933333333333333,0.98,0.9833333333333333,0.9866666666666667,0.04,0.9766666666666667,0.9933333333333333,0.9933333333333333,0.9833333333333333,0.9933333333333333,0.9866666666666667,0.9933333333333333,0.9733333333333334,0.9933333333333333,0.99,0.9833333333333333
AsphaltObstaclesCoordinates_eq,0.578005115089514,0.8542199488491049,0.8235294117647058,0.8081841432225064,0.8209718670076727,0.28388746803069054,0.8388746803069054,0.8567774936061381,0.8593350383631714,0.8184143222506394,0.8670076726342711,0.8209718670076727,0.8542199488491049,0.8209718670076727,0.8184143222506394,0.8542199488491049,0.8465473145780051
AsphaltPavementTypeCoordinates_eq,0.5833333333333334,0.8598484848484849,0.9166666666666666,0.9232954545454546,0.9337121212121212,0.38636363636363635,0.9422348484848485,0.8892045454545454,0.9119318181818182,0.9327651515151515,0.8958333333333334,0.9365530303030303,0.8636363636363636,0.8551136363636364,0.8390151515151515,0.9630681818181818,0.9640151515151515
AsphaltRegularityCoordinates_eq,0.7030625832223701,0.9360852197070573,0.9773635153129161,0.9760319573901465,0.9866844207723036,0.507323568575233,0.9906790945406125,0.9707057256990679,0.9880159786950732,0.9880159786950732,0.9826897470039947,0.9866844207723036,0.9387483355525965,0.9507323568575233,0.9467376830892144,0.9946737683089214,0.9946737683089214
AtrialFibrillation,0.2,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.2,0.06666666666666667,0.13333333333333333,0.2,0.2,0.06666666666666667,0.2,0.3333333333333333,0.3333333333333333,0.2
BasicMotions,0.975,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0
BenzeneConcentration_disc_nmv,0.8206469107108271,0.7797791981406159,0.8183226806120473,0.5173348828200659,0.8256827425915165,0.6897152818128994,0.8589967073406934,0.7853960875460004,0.7290335076505907,0.8599651365485182,0.7439473174510943,0.8169668797210924,0.7530505520046484,0.8076699593259733,0.6901026534960294,0.9643618051520434,0.8917296145651753
Blink,0.5844444444444444,1.0,1.0,0.9977777777777778,0.9822222222222222,0.4444444444444444,0.9977777777777778,1.0,0.9777777777777777,0.9933333333333333,1.0,0.9933333333333333,1.0,0.9977777777777778,0.9977777777777778,0.6666666666666666,0.6866666666666666
BoneIntensitiesAgeGroup,0.5235955056179775,0.8067415730337079,0.8089887640449438,0.7325842696629213,0.8089887640449438,0.4764044943820225,0.7910112359550562,0.8247191011235955,0.797752808988764,0.8179775280898877,0.8089887640449438,0.8179775280898877,0.8134831460674158,0.8134831460674158,0.8044943820224719,0.7752808988764045,0.7842696629213484
BoneProbAgeGroup,0.5191011235955056,0.6741573033707865,0.6494382022471911,0.6404494382022472,0.6426966292134831,0.4764044943820225,0.6741573033707865,0.6831460674157304,0.6764044943820224,0.6314606741573033,0.6876404494382022,0.6337078651685393,0.6876404494382022,0.6292134831460674,0.6876404494382022,0.7078651685393258,0.7101123595505618
ButtonPress,0.5666666666666667,0.9833333333333333,1.0,1.0,1.0,0.44166666666666665,1.0,1.0,1.0,0.9916666666666667,0.8833333333333333,1.0,0.9833333333333333,0.9,1.0,0.9166666666666666,0.9916666666666667
CharacterTrajectories_eq,0.9881615598885793,0.9916434540389972,0.9853760445682451,0.9798050139275766,0.9853760445682451,0.06476323119777158,0.9909470752089137,0.9916434540389972,0.9937325905292479,0.9853760445682451,0.9944289693593314,0.9805013927576601,0.9930362116991643,0.9749303621169917,0.9798050139275766,0.9958217270194986,0.9958217270194986
CounterMovementJump_eq,0.5754189944134078,0.9273743016759777,0.7597765363128491,0.7430167597765364,0.8379888268156425,0.33519553072625696,0.8212290502793296,0.9273743016759777,0.9273743016759777,0.8938547486033519,0.88268156424581,0.9217877094972067,0.9217877094972067,0.7262569832402235,0.8156424581005587,0.6536312849162011,0.7094972067039106
Cricket,1.0,1.0,0.9861111111111112,0.9861111111111112,0.9583333333333334,0.08333333333333333,0.9722222222222222,1.0,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,1.0,0.9722222222222222,0.9722222222222222,0.9861111111111112,0.9861111111111112
DuckDuckGeese,0.58,0.46,0.44,0.5,0.52,0.2,0.54,0.34,0.54,0.48,0.42,0.48,0.46,0.42,0.24,0.64,0.46
ERing,0.9148148148148149,0.9888888888888889,0.9703703703703703,0.9222222222222223,0.9851851851851852,0.16666666666666666,0.9259259259259259,0.9888888888888889,0.9740740740740741,0.9777777777777777,0.9740740740740741,0.9777777777777777,0.9814814814814815,0.8925925925925926,0.9555555555555556,0.9333333333333333,0.9333333333333333
EmoPain,0.9267605633802817,0.8112676056338028,0.8450704225352113,0.8845070422535212,0.847887323943662,0.7830985915492957,0.8507042253521127,0.8394366197183099,0.8704225352112676,0.8450704225352113,0.8901408450704226,0.8788732394366198,0.8028169014084507,0.8309859154929577,0.8112676056338028,0.676056338028169,0.8422535211267606
