estimator,dataset
H-InceptionTime,ShortIntervalTask
H-InceptionTime,SitStand
PatchMTSC,ButtonPress
PatchMTSC,FeedbackButton
PatchMTSC,FeetHands
PatchMTSC,ImaginedFeetHands
PatchMTSC,ImaginedOpenCloseFist
PatchMTSC,InnerSpeech
PatchMTSC,LongIntervalTask
PatchMTSC,MatchingPennies
PatchMTSC,OpenCloseFist
PatchMTSC,PronouncedSpeech
PatchMTSC,ShortIntervalTask
PatchMTSC,SitStand
PatchMTSC,SongFamiliarity
PatchMTSC,VisualSpeech
TimesNet,ButtonPress
TimesNet,FeedbackButton
TimesNet,FeetHands
TimesNet,ImaginedFeetHands
TimesNet,ImaginedOpenCloseFist
TimesNet,InnerSpeech
TimesNet,LongIntervalTask
TimesNet,MatchingPennies
TimesNet,OpenCloseFist
TimesNet,PronouncedSpeech
TimesNet,ShortIntervalTask
TimesNet,SitStand
TimesNet,SongFamiliarity
TimesNet,VisualSpeech
TimesURL,ButtonPress
TimesURL,FeedbackButton
TimesURL,FeetHands
TimesURL,ImaginedFeetHands
TimesURL,ImaginedOpenCloseFist
TimesURL,InnerSpeech
TimesURL,LongIntervalTask
TimesURL,MatchingPennies
TimesURL,OpenCloseFist
TimesURL,PronouncedSpeech
TimesURL,ShortIntervalTask
TimesURL,SitStand
TimesURL,SongFamiliarity
TimesURL,VisualSpeech
CIF,ButtonPress
CIF,FeedbackButton
CIF,FeetHands
CIF,FingerMovements
CIF,ImaginedFeetHands
CIF,ImaginedOpenCloseFist
CIF,InnerSpeech
CIF,LongIntervalTask
CIF,MatchingPennies
CIF,OpenCloseFist
CIF,PronouncedSpeech
CIF,SelfRegulationSCP2
CIF,ShortIntervalTask
CIF,SitStand
CIF,SongFamiliarity
CIF,VisualSpeech
ConvTran,Alzheimers
ConvTran,ButtonPress
ConvTran,FeedbackButton
ConvTran,FeetHands
ConvTran,ImaginedFeetHands
ConvTran,ImaginedOpenCloseFist
ConvTran,InnerSpeech
ConvTran,LongIntervalTask
ConvTran,MatchingPennies
ConvTran,OpenCloseFist
ConvTran,PhotoStimulation
ConvTran,PronouncedSpeech
ConvTran,ShortIntervalTask
ConvTran,SitStand
ConvTran,SongFamiliarity
ConvTran,VisualSpeech
DisjointCNN,ButtonPress
DisjointCNN,FeedbackButton
DisjointCNN,FeetHands
DisjointCNN,FingerMovements
DisjointCNN,ImaginedFeetHands
DisjointCNN,ImaginedOpenCloseFist
DisjointCNN,InnerSpeech
DisjointCNN,LongIntervalTask
DisjointCNN,MatchingPennies
DisjointCNN,OpenCloseFist
DisjointCNN,PronouncedSpeech
DisjointCNN,SelfRegulationSCP2
DisjointCNN,ShortIntervalTask
DisjointCNN,SitStand
DisjointCNN,SongFamiliarity
DisjointCNN,VisualSpeech
DrCIF,ButtonPress
DrCIF,FeedbackButton
DrCIF,FeetHands
DrCIF,FingerMovements
DrCIF,ImaginedFeetHands
DrCIF,ImaginedOpenCloseFist
DrCIF,InnerSpeech
DrCIF,LongIntervalTask
DrCIF,MatchingPennies
DrCIF,OpenCloseFist
DrCIF,PronouncedSpeech
DrCIF,SelfRegulationSCP2
DrCIF,ShortIntervalTask
DrCIF,SitStand
DrCIF,SongFamiliarity
DrCIF,VisualSpeech
STSF,ButtonPress
STSF,FeedbackButton
STSF,FeetHands
STSF,FingerMovements
STSF,ImaginedFeetHands
STSF,ImaginedOpenCloseFist
STSF,InnerSpeech
STSF,LongIntervalTask
STSF,MatchingPennies
STSF,OpenCloseFist
STSF,PronouncedSpeech
STSF,SelfRegulationSCP2
STSF,ShortIntervalTask
STSF,SitStand
STSF,SongFamiliarity
STSF,VisualSpeech
Summary,ButtonPress
Summary,FeedbackButton
Summary,FeetHands
Summary,FingerMovements
Summary,ImaginedFeetHands
Summary,ImaginedOpenCloseFist
Summary,InnerSpeech
Summary,LongIntervalTask
Summary,MatchingPennies
Summary,OpenCloseFist
Summary,PronouncedSpeech
Summary,SelfRegulationSCP2
Summary,ShortIntervalTask
Summary,SitStand
Summary,SongFamiliarity
Summary,VisualSpeech
TS2Vec,ButtonPress
TS2Vec,FeedbackButton
TS2Vec,FeetHands
TS2Vec,FingerMovements
TS2Vec,ImaginedFeetHands
TS2Vec,ImaginedOpenCloseFist
TS2Vec,InnerSpeech
TS2Vec,LongIntervalTask
TS2Vec,MatchingPennies
TS2Vec,OpenCloseFist
TS2Vec,PronouncedSpeech
TS2Vec,SelfRegulationSCP2
TS2Vec,ShortIntervalTask
TS2Vec,SitStand
TS2Vec,SongFamiliarity
TS2Vec,VisualSpeech
TSF,ButtonPress
TSF,FeedbackButton
TSF,FeetHands
TSF,FingerMovements
TSF,ImaginedFeetHands
TSF,ImaginedOpenCloseFist
TSF,InnerSpeech
TSF,LongIntervalTask
TSF,MatchingPennies
TSF,OpenCloseFist
TSF,PronouncedSpeech
TSF,SelfRegulationSCP2
TSF,ShortIntervalTask
TSF,SitStand
TSF,SongFamiliarity
TSF,VisualSpeech
XCM,ButtonPress
XCM,FeedbackButton
XCM,FeetHands
XCM,FingerMovements
XCM,ImaginedFeetHands
XCM,ImaginedOpenCloseFist
XCM,InnerSpeech
XCM,LongIntervalTask
XCM,MatchingPennies
XCM,OpenCloseFist
XCM,PronouncedSpeech
XCM,SelfRegulationSCP2
XCM,ShortIntervalTask
XCM,SitStand
XCM,SongFamiliarity
XCM,VisualSpeech
