Dataset,Disjoint-CNN,InceptionTime,ResNet,TapNet,MLSTM,ROCKET,CIF,HIVE-COTE,STC,DTW D,
AWR,98.44,99.1,98.26,97.14,95.7,99.56,97.89,97.99,97.52,98.87,0.45
AF,37.48,22,36.23,30.23,26.7,24.89,25.12,29.34,31.78,23.56,
BM,100,100,100,99.17,95.5,99,99.75,100,97.92,95.25,
CR,99.91,99.45,99.4,97.5,91.7,100,98.38,99.31,98.94,100,
DDG,64.4,63.47,63.2,58.27,46,59.6,56,47.6,43.47,49.2,
EW,59.34,19.7,45.45,21,50.4,90.69,90.34,78.33,65.61,64.59,
EP,98.87,98.65,99.18,96.09,73.2,99.09,98.39,100,98.64,96.31,
EC,30.93,27.93,28.62,28.99,37.3,44.68,72.89,80.65,82.42,30.16,
ER,96.39,92.1,87.19,89.46,87.26,98.05,95.66,94.25,84.29,92.92,
FD,56.67,77.24,62.98,52.87,55,63.98,68.89,65.64,69.77,53.28,
FM,60.37,56.14,54.7,51.34,55,55.27,53.9,53.77,53.51,54.17,
HMD,32.44,42.39,35.32,32.35,36.5,44.6,52.21,37.66,34.39,30.32,
HW,32.09,65.74,59.79,32.96,30.9,56.67,35.13,50.42,28.43,61.21,
HB,75.94,73.21,63.89,73.97,66.3,71.76,76.53,72.18,50.74,68.88,
LIB,91.62,88.73,94.12,83.63,85.3,90.62,91.67,90.26,84.47,88.04,
LSST,54.7,33.97,42.94,46.34,52.8,63.16,56.18,53.73,27.54,54.76,
MI,56.94,51.17,49.77,59,51,49.2,51.8,52.1,50.84,52.1,
NATO,96.67,96.63,97.12,90.3,88.9,88.54,84.41,82.76,84.36,82.04,
PD,99.47,99.69,99.65,93.66,97.8,98.17,98.97,97.2,97.71,99.28,
PEMS,81.74,82.84,81.95,79.21,74.6,74.92,99.85,97.98,98.37,77.06,
PS,28.21,36.75,30.86,17.5,11,31.07,26.56,32.87,30.63,15.39,
RS,84.61,91.69,91.23,85.82,85.6,91.45,89.3,90.64,88.81,85.64,
SRS1,90.33,84.69,76.11,85.4,84,86.56,85.94,86.03,84.72,81.81,
SRS2,53.76,52.04,50.25,53.47,50.6,50.34,48.88,51.67,51.63,53.69,
SWJ,43.56,42,30.89,35.12,26.7,45.56,45.12,40.67,44,22,
UW,92.42,91.23,88.36,88.39,85.9,93.69,92.42,91.3,87.04,92.29,
Average Rank,3.86,4.44,5.48,6.96,7.84,3.98,4.53,4.73,6.73,6.42,
