Dataset,ODE-RGRU,MICOS,MICN,TimesNet,ModernTCN,LightTS,RLinear,RMLP,Flowformer,Crossformer,MF-Net,PatchTST,CD-ViT,TodyNet,CaLoNet,MPTSNet,HDTCNet
ArticularyWordRecognition,0.960,0.987,0.960,0.980,0.957,0.970,0.970,0.973,0.947,0.977,0.983,0.977,0.983,0.987,0.983,0.973,0.993
AtrialFibrillation,0.333,0.333,0.533,0.267,0.467,0.267,0.467,0.467,0.467,0.400,0.467,0.400,0.667,0.467,0.414,0.467,0.467
BasicMotions,0.975,0.950,0.825,1.000,0.900,0.975,0.875,0.850,1.000,0.700,0.950,0.875,1.000,1.000,0.975,0.975,1.000
Cricket,0.986,0.958,0.896,0.917,0.931,0.917,0.917,0.917,0.903,0.944,0.944,0.944,0.972,1.000,0.986,0.931,1.000
Epilepsy,0.964,0.971,0.847,0.906,0.862,0.841,0.645,0.601,0.920,0.978,0.804,0.978,0.971,0.971,N/A,0.971,1.000
EthanolConcentration,0.373,0.323,0.353,0.357,0.363,0.297,0.289,0.313,0.338,0.380,0.250,0.328,0.449,0.350,0.395,0.426,0.326
ERing,0.748,0.941,0.682,0.915,0.915,0.911,0.904,0.915,0.941,0.963,0.911,0.963,0.900,0.915,N/A,0.926,0.926
FaceDetection,0.620,0.602,0.652,0.686,0.708,0.675,0.656,0.673,0.676,0.687,0.664,0.683,0.639,0.627,0.648,0.680,0.667
FingerMovements,0.600,0.570,0.600,0.550,0.570,0.560,0.560,0.640,0.631,0.620,0.560,0.620,0.620,0.670,N/A,0.640,0.670
HandMovementDirection,0.311,0.649,0.270,0.595,0.527,0.635,0.595,0.581,0.635,0.568,0.500,0.568,0.446,0.649,0.527,0.635,0.486
Handwriting,0.457,0.451,0.255,0.321,0.306,0.261,0.281,0.300,0.338,0.288,0.268,0.296,0.353,0.436,N/A,0.344,0.683
Heartbeat,0.751,0.756,0.747,0.780,0.772,0.751,0.726,0.727,0.776,0.776,0.682,0.749,0.742,0.756,0.682,0.756,0.803
JapaneseVowels,0.992,0.984,0.946,0.984,0.988,0.962,0.959,0.959,0.989,0.991,0.970,0.975,0.978,0.989,0.981,0.986,0.992
Libras,0.861,0.889,0.711,0.839,0.522,0.767,0.700,0.733,0.822,0.800,0.850,0.800,0.867,0.850,0.850,0.872,0.961
LSST,0.595,0.667,0.362,0.392,0.332,0.381,0.331,0.358,0.613,0.510,0.468,0.510,0.648,0.615,0.560,0.604,0.438
NATOPS,0.950,0.967,0.661,0.917,0.850,0.917,0.944,0.939,0.983,0.767,0.927,0.767,0.950,0.972,0.916,0.944,0.989
PenDigits,0.986,0.981,0.980,0.983,0.833,0.967,0.925,0.929,0.981,0.965,0.983,0.965,0.987,0.987,0.983,0.977,0.993
PEMS-SF,0.763,0.751,0.855,0.896,0.891,0.884,0.827,0.839,0.838,0.859,0.884,0.893,0.757,0.780,0.878,0.890,0.896
PhonemeSpectra,0.271,0.167,0.101,0.133,0.103,0.128,0.063,0.071,0.068,0.143,0.113,0.143,0.193,0.309,N/A,0.144,0.355
RacketSports,0.868,0.941,0.737,0.862,0.884,0.724,0.757,0.814,0.875,0.783,0.884,0.783,0.882,0.803,N/A,0.875,0.928
SelfRegulationSCP1,0.823,0.782,0.860,0.918,0.934,0.898,0.911,0.921,0.925,0.921,0.911,0.907,0.915,0.898,0.907,0.926,0.928
SelfRegulationSCP2,0.550,0.578,0.536,0.572,0.603,0.511,0.561,0.510,0.561,0.583,0.533,0.578,0.578,0.550,0.505,0.572,0.596
StandWalkJump,0.400,0.533,0.600,0.333,0.600,0.467,0.400,0.600,0.467,0.533,0.400,0.533,0.667,0.467,0.533,0.533,0.533
SpokenArabicDigits,0.977,0.975,0.971,0.990,0.987,1.000,0.965,0.976,0.988,0.979,0.990,0.983,0.985,0.988,0.990,0.995,0.999
UWaveGestureLibrary,0.834,0.906,0.828,0.853,0.867,0.803,0.825,0.838,0.866,0.853,0.862,0.858,0.878,0.850,0.881,0.881,0.923
Avg.Acc,0.718,0.744,0.671,0.718,0.707,0.699,0.682,0.698,0.742,0.719,0.710,0.723,0.761,0.755,N/A,0.757,0.782
Ours1-to-1-Wins,22,20,22,21,18,22,23,21,18,19,22,19,20,19,15,18,–
Ours1-to-1-Draws,1,0,0,1,1,0,1,1,2,1,1,1,1,3,1,3,–
Ours1-to-1-Losses,2,5,3,3,6,3,1,3,5,5,2,5,4,3,3,4,–
Avg.Rank,9.28,7.16,12.92,8.16,8.40,11.36,12.80,10.92,7.28,7.84,9.80,8.64,6.40,6.12,N/A,5.36,3.24
p-val,0.001,0.008,0.001,0.002,0.006,0.001,0.001,0.001,0.018,0.013,0.001,0.005,0.052,0.016,N/A,0.038,–
