Dataset,ALSTM-FCN,Best-of-OB,CA-SFCN,GA-SFCN,LSTM-FCN,MALSTM-FCN,MLSTM-FCN,RA-SFCN,SFCN
Action,0.727,0.707,0.835,0.81,0.717,0.747,0.754,0.819,0.808
Activity,0.556,0.581,0.623,0.61,0.531,0.588,0.619,0.607,0.606
Ara Voice,0.986,0.946,0.98,0.972,0.98,0.983,0.98,0.965,0.965
Auslan,0.96,0.98,0.978,0.977,0.97,0.96,0.97,0.97,0.977
Daily Sport,0.997,0.984,0.995,0.995,0.997,0.997,0.997,0.993,0.995
Eeg,0.641,0.625,0.656,0.547,0.609,0.641,0.656,0.549,0.547
Eeg2,0.907,0.775,0.983,0.977,0.907,0.913,0.91,0.965,0.978
Ges,0.525,0.409,0.591,0.585,0.505,0.531,0.535,0.571,0.561
HT Sensor,0.72,0.72,0.8,0.8,0.68,0.8,0.78,0.8,0.8
Har,0.955,0.816,0.967,0.963,0.96,0.967,0.967,0.965,0.965
JVowels,0.99,0.98,0.99,0.984,0.99,0.99,1.0,0.965,0.986
Net,0.93,0.98,0.951,0.953,0.94,0.95,0.95,0.949,0.943
OHC,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ozone,0.792,0.751,0.792,0.809,0.676,0.798,0.815,0.803,0.786
