Code,Dataset,FQN,FCN,QuanvNet,ESQN,OS-CNN,ROCKET,InceptionTime,ModernTCN,TimesNet
D1,Chinatown,96.4,96.4,93.2,63.8,97.0,97.3,96.4,97.5,98.1
D2,SharePriceIncrease,59.5,59.0,58.0,48.2,61.9,57.6,62.3,61.3,62.0
D3,SyntheticControl,99.0,99.3,96.0,39.5,100.0,99.8,99.5,96.8,99.3
D4,PhalangesOutlinesCorrect,78.7,82.0,70.9,61.2,81.0,82.6,80.5,82.5,81.3
D5,ECG200,80.5,74.5,76.0,63.5,82.5,84.0,80.5,82.0,79.0
D6,PowerCons,93.3,99.2,87.2,62.8,92.2,95.8,97.2,99.4,99.2
D7,ToeSegmentation2,95.8,90.3,81.8,66.1,93.3,95.8,90.3,76.4,77.6
D8,DiatomSizeReduction,98.1,100.0,89.1,59.4,92.2,100.0,98.8,100.0,99.4
D9,Earthquakes,75.7,73.3,66.5,71.7,76.1,75.2,67.6,70.2,75.2
D10,InsectEPGRegularTrain,100.0,100.0,100.0,49.4,100.0,100.0,100.0,100.0,100.0
D11,StarLightCurves,96.9,97.6,95.6,42.0,97.5,97.4,97.0,92.1,92.7
D12,NerveDamage,99.5,99.5,98.5,28.8,100.0,97.6,100.0,55.1,78.5
D13,BinaryHeartbeat,72.7,74.1,73.7,63.9,67.8,58.3,72.7,60.0,
D14,Epilepsy,99.3,98.9,,,99.6,100.0,100.0,94.5,86.2
D15,EthanolConcentration,30.9,26.1,,,36.0,36.2,33.0,26.7,28.6
D16,Blink,99.2,99.6,,,99.9,99.8,99.5,99.5,98.3
D17,SelfRegulationSCP2,56.8,44.7,,,53.2,56.1,53.4,51.1,49.2
D18,HandMovementDirection,35.7,31.1,,,40.0,39.6,35.3,48.1,54.9
D19,FingerMovements,56.1,55.7,,,53.0,56.4,52.5,57.4,53.7
D20,MotorImagery,52.4,51.1,,,51.6,43.4,49.2,48.4,46.3
