Dataset,LSTM,LSTNet,LSSL,Transformer,Reformer,Informer,Pyraformer,Autoformer,Stationary,FEDformer,ETSformer,Flowformer,DLinear,LightTS,TimesNet,PatchTST,ModernTCN,LETO
EthanolConcentration,32.3,39.9,31.1,32.7,31.9,31.6,30.8,31.6,32.7,31.2,28.1,33.8,32.6,29.7,35.7,32.8,36.3,38.8
FaceDetection,57.7,65.7,66.7,67.3,68.6,67.0,65.7,68.4,68.0,66.0,66.3,67.6,68.0,67.5,68.6,68.3,70.8,71.3
Handwriting,15.2,25.8,24.6,32.0,27.4,32.8,29.4,36.7,31.6,28.0,32.5,33.8,27.0,26.1,32.1,29.6,30.6,32.9
Heartbeat,72.2,77.1,72.7,76.1,77.1,80.5,75.6,74.6,73.7,73.7,71.2,77.6,75.1,75.1,78.0,74.9,77.2,78.3
JapaneseVowels,79.7,98.1,98.4,98.7,97.8,98.9,98.4,96.2,99.2,98.4,95.9,98.9,96.2,96.2,98.4,97.5,98.8,98.5
PEMS-SF,39.9,86.7,86.1,82.1,82.7,81.5,83.2,82.7,87.3,80.9,86.0,83.8,75.1,88.4,89.6,89.3,89.1,89.6
SelfRegulationSCP1,68.9,84.0,90.8,92.2,90.4,90.1,88.1,84.0,89.4,88.7,89.6,92.5,87.3,89.8,91.8,90.7,93.4,94.4
SelfRegulationSCP2,46.6,52.8,52.2,53.9,56.7,53.3,53.3,50.6,57.2,54.4,55.0,56.1,50.5,51.1,57.2,57.8,60.3,61.1
SpokenArabicDigits,31.9,100.0,100.0,98.4,97.0,100.0,99.6,100.0,100.0,100.0,100.0,98.8,81.4,100.0,99.0,98.3,98.7,98.7
UWaveGestureLibrary,41.2,87.8,85.9,85.6,85.6,85.6,83.4,85.9,87.5,85.3,85.0,86.6,82.1,80.3,85.3,85.8,86.7,87.1
Average Accuracy,67.5,70.4,73.6,72.5,74.2,75.07,,,,,,,,,,,,
