Dataset,Series2Vec,TS2Vec,TS-TCC,TNC,MCL,TF-C,TST
WISDM2,64.70 ± 0.34,62.50 ± 0.49,64.36 ± 1.02,63.75 ± 0.90,63.84 ± 0.98,63.35 ± 2.05,61.75 ± 1.34
PAMAP2,81.99 ± 0.41,77.33 ± 0.52,62.33 ± 1.23,67.25 ± 1.09,61.93 ± 1.74,40.32 ± 1.74,52.80 ± 1.15
USC-HAD,56.12 ± 1.34,47.28 ± 4.17,53.89 ± 3.43,51.19 ± 2.05,50.45 ± 3.60,48.51 ± 2.83,46.57 ± 5.29
Sleep,80.62 ± 3.59,77.38 ± 4.74,80.59 ± 1.82,75.71 ± 4.93,74.82 ± 4.16,73.82 ± 6.63,74.93 ± 5.68
Skoda,98.65 ± 0.11,98.09 ± 0.44,96.39 ± 0.52,95.39 ± 0.27,94.04 ± 0.53,96.40 ± 0.67,86.95 ± 1.41
Opp,86.56 ± 0.42,85.00 ± 1.56,82.90 ± 1.68,83.81 ± 4.73,82.54 ± 0.85,83.06 ± 1.25,82.81 ± 4.61
WISDM,81.17 ± 0.27,80.23 ± 2.31,76.16 ± 2.39,73.16 ± 5.47,74.06 ± 2.12,72.08 ± 3.00,62.88 ± 6.54
Epilepsy,97.61 ± 0.03,97.52 ± 0.18,96.83 ± 0.12,95.83 ± 0.15,96.91 ± 0.13,96.73 ± 0.33,82.61 ± 0.24
UCI-HAR,94.77 ± 0.13,93.76 ± 1.17,89.21 ± 0.24,90.21 ± 0.27,88.46 ± 2.84,81.09 ± 1.46,86.21 ± 2.31
Average,82.47,79.90,78.07,77.37,76.33,72.81,70.83
Rank,1,3,3.33,4,4.78,5.44,6.44
