Dataset,BYOL,GTN,TS-TCC,Disjoint,TS2Vec,MF-Net,TodyNet,Time-MIL,FCSTGNN,TS-GAC,RFACL
ArticularyWordRecognition,93.67,87.17,95.08,98.33,98.67,93.02,94.76,91.25,93.00,98.43,99.03
EthanolConcentration,29.28,27.51,20.31,25.85,31.17,25.34,29.46,28.39,33.46,33.57,36.04
EigenWorms,60.31,49.12,57.58,41.98,80.15,45.83,42.92,35.32,59.54,65.25,71.62
FaceDetection,53.32,65.10,63.63,52.52,51.42,64.25,64.21,50.03,66.06,65.08,66.56
FingerMovements,45.00,55.10,45.00,56.00,50.00,52.33,52.49,54.52,53.00,50.00,60.71
HandMovementDirection,39.19,45.10,36.49,27.03,37.83,32.79,36.67,29.89,35.14,25.31,49.68
PEMS-SF,69.36,58.38,70.71,73.41,67.63,81.70,72.24,39.84,77.45,81.14,82.01
PhonemeSpectra,19.65,19.45,21.56,25.02,22.72,19.93,26.79,22.36,16.61,21.71,27.49
RacketSports,81.58,77.63,86.20,86.84,81.57,77.63,80.49,82.25,82.87,76.73,87.75
SelfRegulationSCP1,81.91,81.31,81.71,82.94,76.11,76.54,83.83,75.18,82.01,80.53,84.77
