Dataset,UnNorm_EDI,UnNorm_DTWI,UnNorm_DTWD,Norm_EDI,Norm_DTWI,Norm_DTWD,MLSTM-FCN,WEASEL+MUSE,TapNet,ShapeNet,TS2Vec_supervised,MICOS,TST,TS-TCC,TNC,T-Loss,TS2Vec_selfsupervised,DSDCLNet
ArticularyWordRecognition,0.970,0.980,0.987,0.970,0.980,0.987,0.973,0.990,0.987,0.987,0.980,0.990,0.977,0.953,0.973,0.943,0.987,0.993
AtrialFibrillation,0.267,0.267,0.200,0.267,0.267,0.220,0.267,0.333,0.333,0.400,0.200,0.333,0.067,0.267,0.133,0.133,0.200,0.467
BasicMotions,0.675,1.000,0.975,0.676,1.000,0.975,0.950,1.000,1.000,1.000,1.000,1.000,0.975,1.000,0.975,1.000,0.975,1.000
CharacterTrajectories,0.964,0.969,0.990,0.964,0.969,0.989,0.985,0.990,0.997,0.980,0.992,0.994,0.975,0.985,0.967,0.993,0.995,1.000
Cricket,0.944,0.986,1.000,0.944,0.986,1.000,0.917,1.000,0.958,0.986,0.958,1.000,1.000,0.917,0.958,0.972,0.972,1.000
DuckDuckGeese,0.275,0.550,0.600,0.275,0.550,0.600,0.675,0.575,0.575,0.725,0.660,0.740,0.620,0.380,0.460,0.650,0.680,0.725
ERing,0.133,0.133,0.133,0.133,0.133,0.133,0.941,0.964,0.895,0.574,0.896,0.941,0.874,0.904,0.852,0.133,0.874,0.922
EigenWorms,0.550,0.603,0.618,0.549,N/A,0.618,0.504,0.890,0.489,0.878,0.840,0.901,0.748,0.779,0.840,0.840,0.847,0.856
Epilepsy,0.667,0.978,0.964,0.666,0.978,0.964,0.761,1.000,0.971,0.987,0.942,0.971,0.949,0.957,0.957,0.971,0.964,1.000
EthanolConcentration,0.293,0.304,0.323,0.293,0.304,0.323,0.373,0.430,0.323,0.323,0.285,0.247,0.262,0.285,0.297,0.205,0.308,0.453
FaceDetection,0.519,0.513,0.529,0.519,N/A,0.529,0.545,0.545,0.556,0.602,0.517,0.523,0.534,0.544,0.536,0.513,0.501,0.582
FingerMovements,0.550,0.520,0.530,0.550,0.520,0.530,0.580,0.490,0.530,0.580,0.540,0.570,0.560,0.460,0.470,0.580,0.480,0.610
HandMovementDirection,0.279,0.306,0.231,0.278,0.306,0.231,0.365,0.365,0.378,0.338,0.297,0.649,0.243,0.243,0.324,0.351,0.338,0.473
Handwriting,0.371,0.509,0.607,0.200,0.316,0.286,0.286,0.605,0.357,0.451,0.579,0.621,0.225,0.498,0.249,0.451,0.515,0.635
Heartbeat,0.62,0.659,0.717,0.619,0.658,0.717,0.663,0.727,0.751,0.756,0.737,0.766,0.746,0.751,0.746,0.741,0.683,0.932
InsectWingbeat,0.128,N/A,0.115,0.128,N/A,N/A,0.167,N/A,0.208,0.250,0.179,0.218,0.105,0.264,0.469,0.156,0.466,0.262
JapaneseVowels,0.924,0.959,0.949,0.924,0.959,0.949,0.976,0.973,0.965,0.984,0.976,0.989,0.978,0.930,0.978,0.989,0.984,0.973
LSST,0.456,0.575,0.551,0.456,0.575,0.551,0.373,0.590,0.568,0.590,0.545,0.667,0.408,0.474,0.595,0.509,0.537,0.675
Libras,0.833,0.894,0.872,0.833,0.894,0.870,0.856,0.878,0.850,0.856,0.867,0.889,0.656,0.822,0.817,0.883,0.867,0.950
MotorImagery,0.510,0.390,0.500,0.510,0.482,0.500,0.500,0.500,0.590,0.610,0.460,0.500,0.500,0.610,0.500,0.580,0.510,0.630
NATOPS,0.850,0.850,0.883,0.850,0.850,0.883,0.889,0.870,0.939,0.883,0.922,0.967,0.850,0.822,0.911,0.917,0.928,0.989
PEMS-SF,0.705,0.734,0.711,0.705,0.734,0.711,0.699,0.773,0.751,0.751,0.775,0.809,0.740,0.734,0.699,0.676,0.682,0.855
PenDigits,0.973,0.939,0.977,0.973,0.939,0.977,0.978,0.948,0.980,0.977,0.981,0.981,0.560,0.974,0.979,0.981,0.989,0.981
PhonemeSpectra,0.104,0.151,0.151,0.104,0.151,0.151,0.110,0.190,0.175,0.298,0.231,0.276,0.085,0.252,0.207,0.222,0.233,0.300
RacketSports,0.868,0.842,0.803,0.868,0.842,0.803,0.803,0.934,0.868,0.868,0.901,0.941,0.809,0.816,0.776,0.855,0.855,0.901
SelfRegulationSCP1,0.771,0.765,0.775,0.771,0.765,0.775,0.874,0.710,0.652,0.782,0.741,0.799,0.754,0.823,0.799,0.843,0.812,0.884
SelfRegulationSCP2,0.483,0.533,0.539,0.483,0.533,0.539,0.472,0.460,0.550,0.578,0.556,0.578,0.550,0.533,0.550,0.539,0.578,0.594
SpokenArabicDigits,0.967,0.96,0.963,0.967,0.959,0.963,0.990,0.982,0.983,0.975,0.978,0.981,0.923,0.970,0.934,0.905,0.988,0.99
StandWalkJump,0.200,0.333,0.200,0.200,0.333,0.200,0.067,0.333,0.400,0.533,0.533,0.533,0.267,0.333,0.400,0.333,0.467,0.533
UWaveGestureLibrary,0.881,0.869,0.903,0.881,0.868,0.903,0.891,0.916,0.894,0.906,0.913,0.891,0.575,0.753,0.759,0.875,0.906,0.925
