Dataset,DTWD,WEASEL+MUSE,TapNet,LCEM,CMFMTS+RF,mWDN,TST,MINIROCKET,WaveAtt,DTWAtt,WHEN
ArticularyWordRecognition,0.987,0.993,0.993,0.993,0.99,0.99,0.987,0.99,0.993,0.983,0.993
AtrialFibrillation,0.2,0.333,0.333,0.467,0.2,0.4,0.4,0.4,0.467,0.4,0.467
BasicMotions,0.975,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0
CharacterTrajectories,0.99,0.99,0.997,0.979,0.971,0.994,0.994,0.991,0.991,0.995,0.996
Cricket,1.0,0.986,0.986,0.986,0.972,0.972,0.986,0.986,0.986,1.0,1.0
DuckDuckGeese,0.6,0.575,0.6,0.375,0.52,0.6,0.66,0.64,0.6,0.68,0.7
EigenWorms,0.618,0.89,0.824,0.527,0.885,0.817,0.794,0.962,0.863,0.901,0.893
Epilepsy,0.964,0.993,0.964,0.986,1.0,0.949,0.971,1.0,0.993,0.993,0.993
ERing,0.133,0.133,0.133,0.2,0.93,0.93,0.948,0.981,0.933,0.893,0.959
EthanolConcentration,0.323,0.316,0.361,0.372,0.335,0.445,0.326,0.475,0.407,0.399,0.422
FaceDetection,0.529,0.545,0.556,0.614,0.548,0.615,0.689,0.62,0.61,0.635,0.658
FingerMovements,0.53,0.54,0.6,0.59,0.52,0.58,0.55,0.53,0.6,0.61,0.66
HandMovementDirection,0.231,0.378,0.378,0.649,0.284,0.568,0.595,0.378,0.419,0.351,0.554
Handwriting,0.607,0.531,0.388,0.287,0.282,0.305,0.359,0.511,0.431,0.566,0.561
Heartbeat,0.717,0.727,0.751,0.761,0.766,0.737,0.776,0.766,0.771,0.766,0.78
InsectWingbeat,0.115,0.128,0.222,0.228,0.64,0.656,0.687,0.633,0.64,0.65,0.657
JapaneseVowels,0.949,0.978,0.968,0.978,0.876,0.981,0.997,0.984,0.989,0.986,0.995
Libras,0.872,0.894,0.9,0.772,0.867,0.906,0.861,0.917,0.928,0.922,0.933
LSST,0.551,0.628,0.597,0.652,0.652,0.55,0.571,0.652,0.575,0.618,0.663
MotorImagery,0.5,0.5,0.59,0.6,0.51,0.54,0.54,0.55,0.6,0.62,0.63
NATOPS,0.883,0.883,0.939,0.916,0.817,0.95,0.933,0.928,0.967,0.972,0.978
PEMS-SF,0.711,0.705,0.751,0.942,1.0,0.89,0.896,0.827,0.884,0.902,0.925
PenDigits,0.977,0.969,0.98,0.977,0.951,0.987,0.981,0.979,0.963,0.982,0.987
PhonemeSpectra,0.151,0.19,0.175,0.288,0.287,0.178,0.18,0.289,0.278,0.271,0.293
RacketSports,0.803,0.914,0.842,0.941,0.809,0.868,0.849,0.875,0.908,0.921,0.934
SelfRegulationSCP1,0.775,0.744,0.863,0.839,0.812,0.891,0.922,0.904,0.891,0.846,0.908
SelfRegulationSCP2,0.539,0.522,0.55,0.55,0.417,0.561,0.604,0.506,0.583,0.578,0.589
SpokenArabicDigits,0.963,0.982,0.983,0.973,0.969,0.995,0.998,0.991,0.992,0.995,0.997
StandWalkJump,0.2,0.333,0.4,0.4,0.333,0.333,0.4,0.4,0.467,0.533,0.533
UWaveGestureLibrary,0.903,0.903,0.903,0.897,0.772,0.891,0.913,0.925,0.816,0.875,0.919
Avg.Rank,9.1,7.7,6.7,6.3,8.3,6.3,5.1,5.0,5.0,4.3,2.1
Wins/Ties,2.0,2.0,3.0,5.0,2.0,2.0,7.0,6.0,3.0,3.0,14.0
