Dataset,DTW,STRF,DLinear,Autoformer,FEDformer,PatchTST,TimesNet,TS-TCC,TST,T-Rep,TS2Vec,MOMENT,UniTS,VQShape
ArticularyWordRecognition,0.987,0.917,0.963,0.567,0.593,0.927,0.973,0.953,0.977,0.968,0.987,0.990,0.927,0.987
AtrialFibrillation,0.200,0.267,0.200,0.333,0.467,0.333,0.333,0.267,0.067,0.354,0.200,0.200,0.133,0.520
BasicMotions,0.975,0.925,0.850,0.550,0.800,0.700,0.975,1.000,0.975,1.000,0.975,1.000,0.600,0.910
CharacterTrajectories,0.989,0.849,0.986,0.894,0.914,0.976,0.987,0.985,0.975,0.989,0.995,N/A,0.935,0.969
Cricket,1.000,0.944,0.861,0.194,0.389,0.889,0.903,0.917,1.000,0.958,0.972,1.000,0.958,0.978
DuckDuckGeese,0.600,0.380,0.500,0.340,0.260,0.220,0.580,0.380,0.620,0.457,0.680,0.600,0.320,0.360
ERing,0.133,0.889,0.844,0.715,0.733,0.937,0.927,0.904,0.874,0.943,0.874,0.959,0.830,0.960
EigenWorms,0.618,0.672,0.321,0.504,N/A,N/A,N/A,0.779,0.618,0.884,0.847,0.809,0.710,0.603
Epilepsy,0.964,0.978,0.565,0.746,0.804,0.913,0.877,0.957,0.949,0.970,0.964,0.993,0.942,0.893
EthanolConcentration,0.262,0.677,0.270,0.255,0.281,0.259,0.285,0.285,0.262,0.333,0.308,0.357,0.259,0.325
FaceDetection,0.529,0.567,0.673,0.585,0.688,0.668,0.677,0.544,0.534,0.581,0.501,0.633,0.549,0.653
FingerMovements,0.530,0.500,0.570,0.550,0.540,0.580,0.530,0.460,0.560,0.495,0.480,0.490,0.520,0.642
HandMovementDirection,0.231,0.419,0.662,0.378,0.365,0.514,0.595,0.243,0.243,0.536,0.338,0.324,0.365,0.546
Handwriting,0.286,0.104,0.189,0.147,0.185,0.251,0.311,0.498,0.225,0.414,0.515,0.308,0.137,0.270
Heartbeat,0.717,0.746,0.707,0.737,0.741,0.722,0.732,0.751,0.746,0.725,0.683,0.722,0.673,0.663
JapaneseVowels,0.949,0.676,0.949,0.951,0.968,0.935,0.954,0.930,0.978,0.962,0.984,0.716,0.822,0.945
LSST,0.551,0.491,0.317,0.418,0.363,0.519,0.382,0.474,0.408,0.526,0.537,0.411,0.492,0.511
Libras,0.870,0.817,0.506,0.767,0.867,0.761,0.761,0.822,0.656,0.829,0.867,0.850,0.750,0.814
MotorImagery,0.500,0.510,0.600,0.560,0.580,N/A,0.610,0.610,0.500,0.495,0.510,0.500,0.540,0.680
NATOPS,0.883,0.794,0.917,0.744,0.828,0.756,0.833,0.822,0.850,0.804,0.928,0.828,0.756,0.810
PEMS-SF,0.711,0.925,0.809,0.838,0.867,0.809,0.844,0.734,0.740,0.800,0.682,0.896,0.844,0.865
PenDigits,0.977,0.855,0.851,0.982,0.985,0.974,0.984,0.974,0.560,0.971,0.989,0.972,0.894,0.973
PhonemeSpectra,0.151,0.155,0.069,0.086,0.099,0.081,0.146,0.252,0.085,0.232,0.233,0.233,0.119,0.087
RacketSports,0.803,0.842,0.730,0.822,0.822,0.757,0.855,0.816,0.809,0.883,0.855,0.796,0.684,0.851
SelfRegulationSCP1,0.775,0.846,0.881,0.553,0.577,0.795,0.908,0.823,0.754,0.819,0.812,0.840,0.795,0.904
SelfRegulationSCP2,0.539,0.489,0.528,0.544,0.522,0.506,0.539,0.533,0.550,0.591,0.578,0.478,0.528,0.596
SpokenArabicDigits,0.963,0.679,0.965,0.985,0.988,0.977,0.988,0.970,0.923,0.994,0.988,0.981,0.924,0.976
StandWalkJump,0.200,0.467,0.333,0.333,0.467,0.467,0.533,0.333,0.267,0.441,0.467,0.400,0.400,0.787
UWaveGestureLibrary,0.903,0.762,0.812,0.466,0.434,0.828,0.863,0.753,0.575,0.885,0.906,0.909,0.838,0.888
