Dataset,LCapN,DKNN,FSP,CTL,FitNet,KR,FT,RL,NST,DFA,LMTN,SP,MLKD,IRG,LSN,RKT,FEKD,Tf-KD,DML,DCM,DTCM
AWR,0.71,0.5,0.457,0.817,0.587,0.647,0.973,0.976,0.523,0.967,0.867,0.667,0.967,0.973,0.973,0.976,0.917,0.967,0.95,0.973,0.99
AF,0.4,0.467,0.533,0.467,0.467,0.467,0.533,0.4,0.533,0.533,0.4,0.533,0.4,0.467,0.4,0.333,0.4,0.467,0.467,0.467,0.467
BM,1,0.725,0.85,0.925,0.8,0.625,0.875,1,0.6,1,0.8,0.85,0.65,0.925,1,0.975,1,1,0.95,1,1
CT,0.335,0.341,0.121,0.941,0.264,0.115,0.936,0.934,0.129,0.933,0.218,0.348,0.577,0.958,0.937,0.937,0.971,0.971,0.899,0.906,0.961
CK,0.958,0.375,0.347,0.986,0.236,0.389,0.986,0.986,0.257,0.944,0.5,0.556,0.642,0.944,0.958,0.958,0.972,0.986,0.931,0.861,0.972
DDG,0.6,0.36,0.4,0.64,0.4,0.36,0.62,0.66,0.3,0.64,0.38,0.32,0.32,0.62,0.66,0.62,0.6,0.56,0.46,0.6,0.72
EP,0.877,0.478,0.609,0.906,0.468,0.493,0.906,0.891,0.565,0.87,0.522,0.442,0.529,0.87,0.933,0.877,0.862,0.804,0.725,0.758,0.935
EC,0.293,0.279,0.282,0.297,0.315,0.27,0.254,0.327,0.314,0.336,0.319,0.332,0.315,0.318,0.338,0.367,0.335,0.255,0.319,0.323,0.364
ER,0.922,0.789,0.715,0.937,0.87,0.933,0.922,0.952,0.852,0.956,0.848,0.885,0.87,0.952,0.952,0.948,0.967,0.967,0.97,0.97,0.97
FD,0.669,0.53,0.545,0.7,0.684,0.537,0.666,0.697,0.518,0.694,0.575,0.548,0.527,0.695,0.702,0.685,0.685,0.685,0.684,0.69,0.702
FM,0.62,0.58,0.63,0.61,0.59,0.54,0.57,0.59,0.53,0.58,0.58,0.59,0.63,0.6,0.56,0.67,0.61,0.64,0.57,0.59,0.64
HMD,0.662,0.5,0.554,0.689,0.527,0.431,0.621,0.73,0.419,0.732,0.5,0.446,0.441,0.73,0.73,0.649,0.703,0.716,0.607,0.69,0.716
HW,0.112,0.107,0.216,0.216,0.213,0.1,0.228,0.227,0.222,0.24,0.107,0.115,0.218,0.209,0.233,0.268,0.256,0.362,0.211,0.216,0.299
HB,0.64,0.722,0.727,0.78,0.755,0.731,0.761,0.741,0.735,0.721,0.741,0.721,0.721,0.74,0.731,0.78,0.731,0.74,0.776,0.78,0.78
IW,0.109,0.106,0.103,0.163,0.104,0.108,0.285,0.329,0.105,0.386,0.108,0.104,0.107,0.377,0.34,0.393,0.436,0.393,0.162,0.184,0.215
JV,0.951,0.8,0.749,0.954,0.67,0.622,0.96,0.983,0.805,0.968,0.598,0.751,0.624,0.962,0.954,0.912,0.953,0.954,0.935,0.932,0.97
LIB,0.522,0.433,0.494,0.756,0.5,0.478,0.772,0.806,0.467,0.772,0.411,0.4,0.444,0.811,0.789,0.8,0.767,0.767,0.683,0.756,0.772
LSST,0.257,0.336,0.332,0.349,0.346,0.348,0.378,0.372,0.36,0.358,0.345,0.346,0.347,0.364,0.399,0.396,0.402,0.384,0.361,0.368,0.398
MI,0.6,0.65,0.58,0.62,0.41,0.52,0.62,0.58,0.5,0.5,0.5,0.61,0.53,0.59,0.43,0.62,0.55,0.59,0.54,0.58,0.62
NATO,0.861,0.828,0.667,0.872,0.872,0.661,0.889,0.894,0.717,0.917,0.606,0.683,0.672,0.906,0.906,0.906,0.928,0.9,0.878,0.928,0.95
PD,0.911,0.61,0.842,0.647,0.67,0.697,0.932,0.935,0.571,0.948,0.864,0.593,0.84,0.947,0.949,0.958,0.963,0.965,0.896,0.935,0.923
PEMS,0.913,0.908,0.867,0.936,0.843,0.741,0.896,0.948,0.803,0.954,0.717,0.838,0.885,0.942,0.937,0.903,0.919,0.908,0.874,0.881,0.948
PS,0.127,0.462,0.462,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.444,0.462,0.463
RS,0.875,0.612,0.559,0.895,0.684,0.691,0.847,0.888,0.572,0.875,0.572,0.651,0.678,0.849,0.895,0.855,0.827,0.868,0.862,0.855,0.868
SRS1,0.899,0.9,0.895,0.888,0.898,0.816,0.815,0.894,0.917,0.894,0.887,0.899,0.897,0.897,0.91,0.921,0.903,0.917,0.893,0.904,0.925
SRS2,0.583,0.507,0.583,0.556,0.589,0.556,0.528,0.506,0.55,0.583,0.527,0.583,0.572,0.544,0.572,0.544,0.573,0.55,0.544,0.544,0.589
SAD,0.787,0.204,0.211,0.896,0.237,0.268,0.957,0.96,0.22,0.953,0.953,0.946,0.946,0.964,0.97,0.959,0.97,0.967,0.858,0.953,0.946
SWJ,0.533,0.467,0.216,0.533,0.533,0.533,0.6,0.4,0.6,0.533,0.533,0.6,0.4,0.4,0.467,0.533,0.467,0.333,0.533,0.6,0.667
UW,0.806,0.694,0.706,0.806,0.6,0.675,0.888,0.878,0.731,0.897,0.647,0.687,0.778,0.891,0.888,0.866,0.891,0.884,0.822,0.859,0.9
