Dataset,LBP4MTS,DTW_D,XGBoost,TST,TS2Vec
EthanolConcentration,0.429,0.305,0.417,0.258,0.288
FaceDetection,0.661,0.526,0.635,0.535,0.5
Handwriting,0.361,0.278,0.175,0.215,0.479
Heartbeat,0.725,0.727,0.732,0.739,0.694
JapaneseVowels,0.951,0.909,0.917,0.98,0.943
PEMS-SF,0.692,0.703,0.967,0.737,0.677
SelfRegulationSCP1,0.845,0.753,0.823,0.714,0.818
SelfRegulationSCP2,0.597,0.528,0.489,0.55,0.57
SpokenArabicDigits,0.997,0.959,0.712,0.931,0.973
UWaveGestureLibrary,0.91,0.907,0.772,0.9,0.912
Average Accuracy,0.717,0.66,0.664,0.656,0.686
Average Rank,1.9,3.5,3.3,3.2,3.1
