dataset,DTWD,DTWI,ED,MLSTM-FCNs,MiniRocket,NS,Rocket,ShapeNet,TARNet,TNC,TS-TCC,TS2Vec,TST,TapNet,WEASEL-MUSE
ArticularyWordRecognition,0.987,0.98,0.97,0.973,0.993,0.987,0.993,0.987,0.977,0.973,0.953,0.987,0.947,0.987,0.99
AtrialFibrillation,0.22,0.267,0.267,0.267,0.133,0.133,0.067,0.4,1.0,0.133,0.267,0.2,0.533,0.333,0.333
BasicMotions,0.975,1.0,0.676,0.95,1.0,1.0,1.0,1.0,1.0,0.975,1.0,0.975,0.925,1.0,1.0
CharacterTrajectories,0.989,0.969,0.964,0.985,0.99,0.994,0.991,0.98,0.994,0.967,0.985,0.995,0.971,0.997,0.99
Cricket,1.0,0.986,0.944,0.917,0.986,0.986,1.0,0.986,1.0,0.958,0.917,0.972,0.847,0.958,1.0
DuckDuckGeese,0.6,0.55,0.275,0.675,0.75,0.675,0.5,0.725,0.75,0.46,0.38,0.68,0.3,0.575,0.575
ERing,0.133,0.133,0.133,0.133,0.974,0.133,0.989,0.133,0.919,0.852,0.904,0.874,0.93,0.133,0.133
EigenWorms,0.618,-,0.549,0.504,0.79,0.878,0.65,0.878,0.42,0.84,0.779,0.847,0.72,0.489,0.89
Epilepsy,0.964,0.978,0.666,0.761,1.0,0.957,0.986,0.987,1.0,0.957,0.957,0.964,0.775,0.971,1.0
EthanolConcentration,0.323,0.304,0.293,0.373,0.43,0.236,0.45,0.312,0.323,0.297,0.285,0.308,0.337,0.323,0.43
FaceDetection,0.529,-,0.519,0.545,0.612,0.528,0.638,0.602,0.641,0.536,0.544,0.501,0.625,0.556,0.545
FingerMovements,0.53,0.52,0.55,0.58,0.55,0.54,0.52,0.58,0.62,0.47,0.46,0.48,0.59,0.53,0.49
HandMovementDirection,0.231,0.306,0.278,0.365,0.392,0.27,0.486,0.338,0.392,0.324,0.243,0.338,0.675,0.378,0.365
Handwriting,0.286,0.316,0.2,0.286,0.52,0.533,0.596,0.451,0.281,0.249,0.498,0.515,0.359,0.357,0.605
Heartbeat,0.717,0.658,0.619,0.663,0.771,0.737,0.741,0.756,0.78,0.746,0.751,0.683,0.782,0.751,0.727
InsectWingbeat,-,-,0.128,0.167,0.229,0.16,0.179,0.25,0.137,0.469,0.264,0.466,0.687,0.208,-
JapaneseVowels,0.949,0.959,0.924,0.976,0.986,0.989,0.978,0.984,0.992,0.978,0.93,0.984,0.995,0.965,0.973
LSST,0.551,0.575,0.456,0.373,0.653,0.558,0.635,0.59,0.976,0.595,0.474,0.537,0.576,0.568,0.59
Libras,0.87,0.894,0.833,0.856,0.922,0.867,0.906,0.856,1.0,0.817,0.822,0.867,0.861,0.85,0.878
MotorImagery,0.5,-,0.51,0.51,0.61,0.54,0.46,0.61,0.63,0.5,0.61,0.51,0.61,0.59,0.5
NATOPS,0.883,0.85,0.85,0.889,0.933,0.944,0.872,0.883,0.911,0.911,0.822,0.928,0.939,0.939,0.87
PEMS-SF,0.711,0.734,0.705,0.699,0.809,0.688,0.832,0.751,0.936,0.699,0.734,0.682,0.93,0.751,-
PenDigits,0.977,0.939,0.973,0.978,0.967,0.983,0.981,0.977,0.976,0.979,0.974,0.989,0.981,0.98,0.948
PhonemeSpectra,0.151,0.151,0.104,0.11,0.291,0.246,0.273,0.298,0.165,0.207,0.252,0.233,0.111,0.175,0.19
RacketSports,0.803,0.842,0.868,0.803,0.868,0.862,0.901,0.882,0.987,0.776,0.816,0.855,0.796,0.868,0.934
SelfRegulationSCP1,0.775,0.765,0.771,0.874,0.915,0.846,0.867,0.782,0.816,0.799,0.823,0.812,0.961,0.652,0.71
SelfRegulationSCP2,0.539,0.533,0.483,0.472,0.506,0.556,0.555,0.578,0.622,0.55,0.533,0.578,0.604,0.55,0.46
SpokenArabicDigits,0.963,0.959,0.967,0.99,0.963,0.956,0.997,0.975,0.985,0.934,0.97,0.988,0.998,0.983,0.982
StandWalkJump,0.2,0.333,0.2,0.067,0.333,0.4,0.467,0.533,0.533,0.4,0.333,0.467,0.6,0.4,0.333
UWaveGestureLibrary,0.903,0.868,0.881,0.891,0.785,0.884,0.931,0.906,0.878,0.759,0.753,0.906,0.913,0.894,0.916
