dataset,Crossformer,DLinear,DTWD,DTWI,ED,FEDformer,Flowformer,GPT4TS,LSSL,LSTNet,LSTST,LightTS,MICN,ModernTCN,PatchTST,Rocket,SCINet,ShapeNet,TEST,TimesNet
EthanolConcentration,38.0,36.2,32.3,30.4,29.3,31.2,33.8,34.2,31.1,39.9,35.0,29.7,35.3,36.3,32.8,45.2,34.4,31.2,37.3,35.7
FaceDetection,68.7,68.0,52.9,51.3,51.9,66.0,67.6,69.2,66.7,65.7,62.2,67.5,65.2,70.8,68.3,64.7,68.9,60.2,51.2,68.6
Handwriting,28.8,27.0,60.7,50.9,37.1,28.0,33.8,32.7,24.6,25.8,51.3,26.1,25.5,30.6,29.6,58.8,23.6,45.1,43.1,32.1
Heartbeat,77.1,75.1,71.7,65.9,62.0,73.7,77.6,77.2,72.7,77.1,80.5,75.1,74.7,77.2,74.9,75.6,71.5,75.6,79.1,78.0
JapaneseVowels,99.1,96.2,94.9,95.9,92.4,98.4,98.9,98.6,98.4,98.1,98.6,96.2,94.6,98.8,97.5,96.2,96.0,98.4,99.1,98.4
PEMS-SF,85.9,75.1,71.1,73.4,70.5,80.9,86.0,87.9,86.1,86.7,91.9,88.4,85.5,89.1,89.3,75.1,83.8,75.1,86.0,89.6
SelfRegulationSCP1,92.1,87.3,77.5,76.5,77.1,88.7,92.5,93.2,90.8,84.0,91.5,89.8,86.0,93.4,90.7,90.8,92.5,78.2,87.0,91.8
SelfRegulationSCP2,58.3,50.5,53.9,53.3,48.3,54.4,56.1,59.4,52.2,52.8,60.0,51.1,53.6,60.3,57.8,53.3,57.2,57.8,57.9,57.2
SpokenArabicDigits,97.9,81.4,96.3,96.0,96.7,100.0,98.8,99.2,100.0,100.0,99.0,100.0,97.1,98.7,98.3,71.2,98.1,97.5,98.2,99.0
UWaveGestureLibrary,85.3,82.1,90.3,86.9,88.1,85.3,86.6,88.1,85.9,87.8,92.2,80.3,82.8,86.7,85.8,94.4,85.1,90.6,93.3,85.3
