dataset,Autoformer,CRT,Informer,LPTM,SimMTM,TARNet,TS-TCC,TS2Vec,TST,TimesNet
ArticularyWordRecognition,0.82,0.88,0.83,0.98,0.92,0.97,0.97,0.89,0.92,0.79
AtrialFibrillation,0.55,0.89,0.57,0.93,0.85,1.0,0.37,0.44,0.72,0.68
BasicMotions,0.93,0.88,0.95,1.0,0.86,1.0,1.0,0.99,0.92,0.92
CharacterTrajectories,0.55,0.93,0.57,0.98,0.97,0.97,0.96,0.98,0.99,0.68
Cricket,0.87,0.94,0.94,0.99,0.96,1.0,0.97,0.98,0.84,0.88
DuckDuckGeese,0.44,0.55,0.54,0.79,0.58,0.75,0.57,0.39,0.74,0.56
ERing,0.29,0.75,0.23,0.97,0.64,0.92,0.78,0.89,0.86,0.46
EigenWorms,0.62,0.79,0.49,0.94,0.82,0.89,0.77,0.84,0.72,0.73
Epilepsy,0.57,0.55,0.58,0.97,0.78,1.0,0.98,1.0,0.94,0.61
EthanolConcentration,0.27,0.21,0.14,0.53,0.34,0.32,0.37,0.45,0.46,0.34
FaceDetection,0.49,0.78,0.51,0.79,0.73,0.63,0.54,0.51,0.62,0.59
FingerMovements,0.54,0.72,0.58,0.78,0.68,0.62,0.47,0.46,0.59,0.58
HandMovementDirection,0.27,0.21,0.14,0.53,0.34,0.32,0.37,0.45,0.46,0.34
Handwriting,0.18,0.52,0.16,0.51,0.64,0.24,0.55,0.52,0.37,0.29
Heartbeat,0.66,0.62,0.53,0.74,0.74,0.78,0.69,0.71,0.74,0.61
InsectWingbeat,0.16,0.18,0.13,0.72,0.62,0.14,0.22,0.18,0.69,0.14
JapaneseVowels,0.96,0.99,0.87,0.98,0.94,0.99,0.98,0.97,0.99,0.94
LSST,0.44,0.48,0.36,0.98,0.53,0.97,0.62,0.54,0.65,0.32
Libras,0.64,0.88,0.72,0.95,0.82,1.0,0.92,0.85,0.91,0.75
MotorImagery,0.52,0.58,0.51,0.57,0.46,0.64,0.61,0.62,0.62,0.5
NATOPS,0.69,0.88,0.75,0.94,0.85,0.92,0.92,0.91,0.94,0.84
PEMS-SF,0.71,0.89,0.67,0.93,0.86,0.94,0.73,0.75,0.93,0.84
PenDigits,0.86,0.88,0.84,0.92,0.94,0.97,0.95,0.98,0.97,0.81
PhonemeSpectra,0.13,0.18,0.11,0.32,0.26,0.17,0.226,0.28,0.29,0.15
RacketSports,0.86,0.87,0.83,0.93,0.84,0.98,0.85,0.77,0.79,0.91
SelfRegulationSCP1,0.76,0.73,0.65,0.92,0.96,0.81,0.84,0.77,0.89,0.57
SelfRegulationSCP2,0.598,0.625,0.562,0.691,0.614,0.622,0.575,0.593,0.604,0.612
SpokenArabicDigits,0.96,0.94,0.92,1.0,0.96,0.98,0.97,0.94,0.99,0.92
StandWalkJump,0.1,0.11,0.21,0.58,0.52,0.53,0.31,0.28,0.61,0.34
UWaveGestureLibrary,0.86,0.82,0.79,0.94,0.74,0.87,0.92,0.91,0.86,0.82
