Dataset,MR-PETSC,1-NN-ED,1-NN-DTWI,1-NN-DTWD
ArticularyWordRecognition,0.997,0.97,0.98,0.987
AtrialFibrillation,0.4,0.267,0.267,0.19999999999999996
BasicMotions,1.0,0.675,1.0,0.975
CharacterTrajectories,0.9410000000000001,0.964,0.969,0.99
Cricket,1.0,0.944,0.986,1.0
ERing,0.945,0.133,0.133,0.133
EigenWorms,0.771,0.55,0.55,0.618
Epilepsy,1.0,0.667,0.978,0.964
EthanolConcentration,0.5549999999999999,0.29300000000000004,0.30400000000000005,0.32299999999999995
FingerMovements,0.61,0.55,0.52,0.53
HandMovementDirection,0.33799999999999997,0.279,0.30600000000000005,0.23099999999999998
LSST,0.56,0.45599999999999996,0.575,0.5509999999999999
Libras,0.845,0.833,0.894,0.872
NATOPS,0.917,0.85,0.85,0.883
RacketSports,0.908,0.868,0.842,0.8029999999999999
SelfRegulationSCP1,0.788,0.771,0.765,0.775
SelfRegulationSCP2,0.5329999999999999,0.483,0.5329999999999999,0.5389999999999999
StandWalkJump,0.4,0.19999999999999996,0.33299999999999996,0.19999999999999996
UWaveGestureLibrary,0.8,0.881,0.869,0.903
