Dataset,Transformer,LinearTransformer,Reformer,Longformer,Performer,YOSO-E,cosFormer,SOFT,Flowformer,Primal,Primal+Transformer
EthanolConcentration,0.327,0.319,0.319,0.32299999999999995,0.312,0.312,0.32299999999999995,0.335,0.33799999999999997,0.331,0.354
FaceDetection,0.6729999999999999,0.67,0.6859999999999999,0.626,0.67,0.6729999999999999,0.648,0.6709999999999999,0.6759999999999999,0.6709999999999999,0.638
Handwriting,0.32,0.34700000000000003,0.27399999999999997,0.396,0.321,0.309,0.289,0.34700000000000003,0.33799999999999997,0.29600000000000004,0.287
Heartbeat,0.7609999999999999,0.7659999999999999,0.7709999999999999,0.78,0.7559999999999999,0.765,0.7709999999999999,0.7559999999999999,0.7759999999999999,0.7609999999999999,0.7709999999999999
JapaneseVowels,0.987,0.992,0.978,0.9890000000000001,0.981,0.986,0.983,0.992,0.9890000000000001,0.9840000000000001,0.9890000000000001
PEMS-SF,0.821,0.821,0.8270000000000001,0.838,0.809,0.852,0.8320000000000001,0.809,0.838,0.8959999999999999,0.902
SelfRegulationSCP1,0.922,0.925,0.904,0.9009999999999999,0.915,0.9109999999999999,0.9109999999999999,0.9179999999999999,0.925,0.925,0.925
SelfRegulationSCP2,0.539,0.5670000000000001,0.5670000000000001,0.556,0.5670000000000001,0.539,0.55,0.556,0.561,0.5720000000000001,0.561
SpokenArabicDigits,0.9840000000000001,0.98,0.97,0.9440000000000001,0.9840000000000001,0.9890000000000001,0.9840000000000001,0.988,0.988,1.0,1.0
UWaveGestureLibrary,0.856,0.85,0.856,0.875,0.853,0.884,0.856,0.85,0.866,0.863,0.884
