Dataset,EDI,DTWD,WEASEL+MUSE,MiniRocket,LCEM,MLSTM-FCN,TapNet,ShapeNet,WHEN,TST,ConvTran,SVP-T,ShapeFormer
ArticularyWordRecognition,0.97,0.987,0.99,0.992,0.993,0.973,0.987,0.987,0.993,0.983,0.983,0.993,0.993
AtrialFibrillation,0.267,0.22,0.333,0.133,0.467,0.267,0.333,0.4,0.467,0.2,0.4,0.4,0.66
BasicMotions,0.676,0.975,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.975,1.0,1.0,1.0
CharacterTrajectories,0.964,0.989,0.99,0.993,0.979,0.985,0.997,0.98,0.996,0.0,0.992,0.99,0.996
Cricket,0.944,1.0,1.0,0.986,0.986,0.917,0.958,0.986,1.0,0.958,1.0,1.0,1.0
DuckDuckGeese,0.275,0.6,0.575,0.65,0.375,0.675,0.575,0.725,0.7,0.48,0.62,0.7,0.725
ERing,0.133,0.929,0.133,0.981,0.2,0.133,0.133,0.133,0.959,0.933,0.963,0.937,0.966
EigenWorms,0.549,0.618,0.89,0.962,0.527,0.504,0.489,0.878,0.893,,0.593,0.925,0.925
Epilepsy,0.666,0.964,1.0,1.0,0.986,0.761,0.971,0.987,0.993,0.92,0.986,0.986,0.993
EthanolConcentration,0.293,0.323,0.43,0.468,0.372,0.373,0.323,0.312,0.422,0.337,0.361,0.331,0.378
FaceDetection,0.519,0.529,0.545,0.62,0.614,0.545,0.556,0.602,0.658,0.681,0.672,0.512,0.658
FingerMovements,0.55,0.53,0.49,0.55,0.59,0.58,0.53,0.58,0.66,0.776,0.56,0.6,0.7
HandMovementDirection,0.278,0.231,0.365,0.392,0.649,0.365,0.378,0.338,0.554,0.608,0.405,0.392,0.486
Handwriting,0.2,0.286,0.605,0.507,0.287,0.286,0.357,0.452,0.561,0.305,0.375,0.433,0.507
Heartbeat,0.619,0.717,0.727,0.771,0.761,0.663,0.751,0.756,0.78,0.712,0.785,0.79,0.8
InsectWingbeat,0.128,,,0.595,0.228,0.167,0.208,0.25,0.657,0.684,0.713,0.184,0.314
JapaneseVowels,0.924,0.949,0.973,0.989,0.978,0.976,0.965,0.984,0.995,0.994,0.989,0.978,0.997
LSST,0.456,0.551,0.59,0.643,0.652,0.373,0.568,0.59,0.663,0.381,0.616,0.666,0.7
Libras,0.833,0.87,0.878,0.922,0.772,0.856,0.85,0.856,0.933,0.844,0.928,0.883,0.961
MotorImagery,0.51,0.5,0.5,0.55,0.6,0.51,0.59,0.61,0.63,,0.56,0.65,0.67
NATOPS,0.85,0.883,0.87,0.928,0.916,0.889,0.939,0.883,0.978,0.9,0.944,0.906,0.989
PEMS-SF,0.973,0.711,,0.522,0.942,0.699,0.751,0.751,0.925,0.919,0.828,0.867,0.925
PenDigits,0.705,0.977,0.948,,0.977,0.978,0.98,0.977,0.987,0.974,0.987,0.983,0.99
PhonemeSpectra,0.104,0.151,0.19,0.292,0.288,0.11,0.175,0.298,0.293,0.088,0.306,0.176,0.293
RacketSports,0.868,0.803,0.934,0.868,0.941,0.803,0.868,0.882,0.934,0.829,0.862,0.842,0.895
SelfRegulationSCP1,0.771,0.775,0.71,0.925,0.839,0.874,0.652,0.782,0.908,0.925,0.918,0.884,0.911
SelfRegulationSCP2,0.483,0.539,0.46,0.522,0.55,0.472,0.55,0.578,0.589,0.589,0.583,0.6,0.633
SpokenArabicDigits,0.967,0.963,0.982,0.62,0.973,0.99,0.983,0.975,0.997,0.993,,0.986,0.997
StandWalkJump,0.2,0.2,0.333,0.333,0.4,0.067,0.4,0.533,0.533,0.267,0.333,0.467,0.6
UWaveGestureLibrary,0.881,0.903,0.916,0.938,0.897,0.891,0.894,0.906,0.919,0.903,0.891,0.941,0.922
