Dataset,TimesNet,Transformer,Transformer+CAB,Nonstationary,Nonstationary+CAB,FEDformer,DLinear,Flowformer,Autoformer,Crossformer,iTransformer,pure-CAB,static-CAB,lambda-CAB,beta-CAB
Ethanol,28.14,26.24,31.94,25.10,25.10,28.90,27.00,33.08,27.38,33.84,25.10,30.79,28.14,29.28,30.42
FaceDetection,67.31,67.93,71.11,68.70,69.40,68.55,67.25,67.08,54.63,50.00,67.93,68.81,69.67,70.20,70.83
Handwriting,29.88,29.53,29.06,31.41,30.12,18.47,18.94,27.18,13.18,5.06,21.53,20.94,23.88,24.35,29.06
Heartbeat,74.15,75.12,75.12,72.20,72.20,75.12,70.73,72.68,69.76,72.20,74.15,72.68,75.61,74.15,75.12
JapaneseVowels,97.57,97.03,97.84,96.22,95.68,96.76,94.86,98.65,94.86,95.41,97.03,96.76,95.68,95.68,97.84
PEMS-SF,89.02,78.03,86.71,82.66,75.14,86.71,80.35,86.71,82.66,73.99,84.97,72.83,79.77,76.88,84.39
SCP1,91.13,91.13,91.47,83.28,82.94,57.00,88.05,89.08,59.39,88.74,92.83,86.01,90.44,88.74,91.13
SCP2,52.78,53.89,56.11,50.00,55.55,49.44,52.78,54.44,53.89,55.00,52.22,58.89,57.22,55.00,55.00
SpokenArabic,98.68,98.45,99.05,98.82,98.91,98.32,96.54,98.95,98.82,97.91,98.09,98.45,98.54,99.27,99.05
UWaveGesture,86.88,86.25,85.94,81.56,85.94,44.06,81.25,86.88,45.63,80.94,86.25,80.00,83.13,82.50,85.31
