Dataset,TapNet,ResNet,FCN,Disjoint-CNN,IT,TST,DA-Net,DKN,ConvTran,Hformer
ArticularyWordRecognition,0.987,0.980,0.980,0.987,0.987,0.983,0.98,0.993,0.983,0.983
AtrialFibrillation,0.333,0.333,0.333,0.400,0.200,0.200,0.467,0.467,0.400,0.573
BasicMotions,1.000,1.000,1.000,1.000,1.000,0.975,0.925,1.000,1.000,1.000
CharacterTrajectories,0.997,0.995,0.987,0.995,0.988,0.983,0.998,0.986,0.992,0.994
Cricket,0.958,0.972,0.931,0.977,0.986,1.000,0.861,0.951,1.000,0.981
DuckDuckGeese,0.575,0.240,0.360,0.500,0.360,0.500,0.520,0.560,0.620,0.625
EigenWorm,0.489,0.420,0.420,0.593,0.527,0.450,0.489,0.628,0.593,0.867
Epilepsy,0.971,0.993,0.993,0.890,0.993,0.949,0.883,0.979,0.986,0.983
EthanolConcentration,0.323,0.316,0.323,0.278,0.350,0.151,0.338,0.372,0.361,0.386
Ering,0.895,0.930,0.904,0.911,0.930,0.930,0.874,0.933,0.963,0.913
FaceDetection,0.556,0.592,0.504,0.567,0.589,0.654,0.648,0.631,0.672,0.687
FingerMovements,0.530,0.540,0.530,0.540,0.560,0.580,0.510,0.600,0.560,0.602
HandMovementDirection,0.378,0.284,0.297,0.541,0.378,0.541,0.365,0.662,0.405,0.703
Handwriting,0.357,0.18,0.376,0.237,0.301,0.275,0.159,0.231,0.375,0.466
Heartbeat,0.751,0.727,0.678,0.717,0.625,0.698,0.624,0.765,0.785,0.793
InsectWingbeat,0.208,0.650,0.600,0.631,0.696,0.675,0.567,0.362,0.713,0.650
JapaneseVowels,0.965,0.914,0.973,0.976,0.970,0.984,0.938,0.930,0.989,0.979
Libras,0.850,0.839,0.850,0.858,0.872,0.822,0.800,0.900,0.928,0.864
LSST,0.568,0.573,0.562,0.556,0.446,0.556,0.560,0.347,0.616,0.640
MotorImagery,0.590,0.520,0.550,0.490,0.530,0.480,0.500,0.620,0.560,0.632
NATOPS,0.939,0.894,0.878,0.928,0.917,0.950,0.878,0.872,0.944,0.972
PEMS-SF,0.751,0.740,0.832,0.890,0.890,0.757,0.867,0.93,0.828,0.837
PenDigits,0.980,0.977,0.986,0.971,0.980,0.970,0.980,0.948,0.987,0.971
Phoneme,0.175,0.160,0.160,0.282,0.159,0.089,0.093,0.525,0.306,0.283
RacketSports,0.868,0.822,0.822,0.836,0.822,0.882,0.803,0.879,0.862,0.872
SelfRegulationSCP1,0.652,0.836,0.782,0.884,0.863,0.860,0.924,0.913,0.918,0.915
SelfRegulationSCP2,0.550,0.500,0.467,0.517,0.472,0.533,0.561,0.600,0.583,0.597
SpokenArabicDigits,0.983,0.983,0.984,0.986,0.987,0.948,0.980,0.963,0.995,0.997
StandWalkJump,0.400,0.400,0.400,0.333,0.400,0.333,0.400,0.533,0.333,0.550
UWaveGestureLibrary,0.894,0.850,0.850,0.891,0.909,0.891,0.833,0.897,0.891,0.916
