dataset,DA-Net,Tap-Net,OC-CNN,XCM,SN,MSTformer
ArticularyWordRecognition,98,98.7,98.8,98.3,98.7,99.1
AtrialFibrillation,46.7,33.3,23.3,46.7,40,63.3
BasicMotions,92.5,100,100,100,100,100
CharacterTrajectories,99.8,99.7,99.8,99.5,98,100
Cricket,86.1,95.8,99.3,100,98.6,100
DuckDuckGeese,52.1,57.5,54.0,70,72.5,82.6
EigenWorms,48.9,48.9,41.4,43.5,87.8,95.7
Epilepsy,83.3,97.1,98.0,99.3,98.7,99.6
ERing,87.4,13.3,88.1,13.3,13.3,97.1
EthanolConcentration,33.8,32.3,24.0,34.6,31.2,63.6
FaceDetection,64.8,55.6,57.5,63.9,60.2,73.4
FingerMovements,51,53,56.8,60,58,78
HandMovementDirection,36.5,37.8,44.3,44.6,33.8,65.9
Handwriting,15.9,35.7,66.8,41.2,45.1,82.1
Heartbeat,62.4,75.1,48.9,77.6,75.6,92.4
InsectWingbeat,56.7,20.8,66.7,10.5,25,83.6
JapaneseVowels,93.8,96.5,99.1,98.6,98.4,99.7
Libras,80,85,95,84.4,85.6,97.2
LSST,56,56.8,41.3,61.2,59,87.2
MotorImagery,50,59,53.5,54,61,73.5
NATOPS,87.8,93.9,96.8,97.8,88.3,98.2
PEMS-SF,86.7,75.1,76.0,99.1,75.1,99.5
PenDigits,98,98,98.5,75.7,97.7,99.7
Phoneme,9.3,17.5,29.9,22.5,29.8,48.5
RacketSports,80.3,86.8,87.7,89.5,88.2,44.6
SelfRegulationSCP1,92.4,65.2,83.5,87.8,78.2,96.1
SelfRegulationSCP2,56.1,55,53.2,54.4,57.8,76.1
SpokenArabicDigits,95,98.3,99.7,99.5,97.5,100
StandWalkJump,40,40,38.3,40,53.3,76.7
UWaveGestureLibrary,83.3,89.4,92.7,89.4,90.6,95.4
