dataset,VanTrans,SwinTrans,Linformer,FMLA,DualAggTrans,DualAttTrans,KATN
AWR,0.973,0.98,0.987,0.992,0.993,0.993,0.993
AF,0.467,0.467,0.467,0.533,0.467,0.467,0.533
BM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CT,0.966,0.97,0.997,0.979,0.989,0.986,0.993
CK,0.943,0.958,0.958,0.986,0.986,0.951,1.0
DDG,0.54,0.58,0.6,0.62,0.66,0.64,0.66
EW,0.618,0.847,0.489,0.954,0.733,0.628,0.733
EP,0.807,0.978,0.971,0.979,0.935,1.0,0.913
EC,0.332,0.228,0.323,0.38,0.352,0.372,0.399
ER,0.4,0.93,0.859,0.981,0.933,0.933,0.956
FD,0.519,0.583,0.556,0.631,0.634,0.631,0.664
FM,0.56,0.46,0.53,0.55,0.6,0.63,0.62
HMD,0.338,0.284,0.378,0.392,0.65,0.662,0.688
HW,0.451,0.187,0.357,0.511,0.32,0.294,0.32
HB,0.619,0.727,0.751,0.771,0.765,0.765,0.762
IW,0.327,0.1,0.208,0.362,0.515,0.595,0.515
JV,0.918,0.778,0.965,0.965,0.989,0.93,0.968
LIB,0.899,0.817,0.85,0.85,0.878,0.833,0.839
LSST,0.548,0.652,0.568,0.643,0.407,0.347,0.407
MI,0.51,0.5,0.59,0.55,0.63,0.62,0.62
NATO,0.822,0.8,0.85,0.85,0.85,0.872,0.889
PD,0.939,0.939,0.98,0.965,0.98,0.948,0.982
PEMS,0.874,0.959,0.751,0.522,0.953,0.93,0.953
PS,0.215,0.247,0.175,0.292,0.359,0.325,0.366
RS,0.796,0.809,0.868,0.868,0.823,0.829,0.875
SRS1,0.843,0.771,0.652,0.874,0.841,0.913,0.908
SRS2,0.533,0.45,0.55,0.522,0.533,0.6,0.6
SAD,0.963,0.979,0.983,0.959,0.978,0.963,0.983
SWJ,0.426,0.267,0.4,0.333,0.533,0.533,0.6
UW,0.872,0.728,0.894,0.916,0.903,0.897,0.881
