dataset,DANet,DANet+DTW,mvts_Trans,mvts_Trans+DTW,Shapeformer,Shapeformer+DTW,ROCKET-DTW
ArticularyWordRecognition,0.963,0.964,0.979,0.978,0.987,0.987,0.989
AtrialFibrillation,0.267,0.288,0.4,0.333,0.6,0.633,0.2
BasicMotions,0.975,0.975,0.95,0.963,1.0,1.0,1.0
DuckDuckGeese,0.42,0.424,0.48,0.56,0.64,0.673,0.455
Epilepsy,0.899,0.913,0.855,0.884,0.971,0.978,0.989
FingerMovements,0.5,0.51,0.58,0.59,0.64,0.67,0.75
HandMovementDirection,0.459,0.459,0.608,0.625,0.378,0.386,0.525
Handwriting,0.244,0.258,0.301,0.299,0.284,0.286,0.841
Heartbeat,0.639,0.629,0.795,0.893,0.78,0.795,0.681
JapaneseVowels,0.976,0.981,0.987,0.995,0.989,0.997,0.99
Libras,0.889,0.888,0.789,0.794,0.944,0.94,0.966
NATOPS,0.927,0.928,0.881,0.939,0.972,0.978,0.967
PEMS-SF,0.82,0.827,0.913,0.913,0.804,0.821,0.819
SelfRegulationSCP1,0.874,0.874,0.869,0.904,0.921,0.921,0.757
SelfRegulationSCP2,0.483,0.482,0.556,0.556,0.583,0.594,0.619
UWaveGestureLibrary,0.866,0.881,0.819,0.825,0.891,0.909,0.929
